tool,warning description,type,subtype,type,subtype,type,subtype
Flawfinder, (access) ImpersonateLoggedOnUser, API Abuse, Often Misused: Privilege Management, Security Features, Least Privilege Violation,,
Flawfinder, (access) ImpersonateNamedPipeClient, API Abuse, Often Misused: Privilege Management, Security Features, Least Privilege Violation ,,
Flawfinder, (access) umask, API Abuse, Often Misused: Privilege Management, Security Features, Least Privilege Violation ,,
Flawfinder, (buffer) CopyMemory, Input Validation and Representation, Buffer Overflow,,,,
Flawfinder, (buffer) MultiByteToWideChar, Input Validation and Representation, Buffer Overflow, API Abuse, Often Misused: Strings ,,
Flawfinder, (buffer) TCHAR, Input Validation and Representation, Buffer Overflow ,,,,
Flawfinder, (buffer) _ftscanf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings ,,
Flawfinder, (buffer) _gettc, Input Validation and Representation, Buffer Overflow, API Abuse, Often Misused: Strings,,
Flawfinder, (buffer) _getts, Input Validation and Representation, Buffer Overflow, API Abuse, Often Misused: Strings, Code Quality, Obsolete
Flawfinder, (buffer) _stprintf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
Flawfinder, (buffer) _tcscat, Input Validation and Representation, Buffer Overflow, API Abuse, Often Misused: Strings,,
Flawfinder, (buffer) _tcscpy, Input Validation and Representation, Buffer Overflow, API Abuse, Often Misused: Strings,,
Flawfinder, (buffer) _tcslen, Input Validation and Representation, String Termination Error, API Abuse, Often Misused: Strings,,
Flawfinder, (buffer) _tcsncat, Input Validation and Representation, Buffer Overflow, API Abuse, Often Misused: Strings,,
Flawfinder, (buffer) _tcsncpy, Input Validation and Representation, String Termination Error, API Abuse, Often Misused: Strings,,
Flawfinder, (buffer) _tscanf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings ,,
Flawfinder, (buffer) _vstprintf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
Flawfinder, (buffer) bcopy, Input Validation and Representation, Buffer Overflow, API Abuse, Often Misused: Strings,,
Flawfinder, (buffer) char, Input Validation and Representation, Buffer Overflow,,,,
Flawfinder, (buffer) curl_getenv, Input Validation and Representation, Setting Manipulation,,,,
Flawfinder, (buffer) fgetc, Input Validation and Representation, Buffer Overflow, API Abuse, Often Misused: Strings ,,
Flawfinder, (buffer) fscanf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings ,,
Flawfinder, (buffer) fwscanf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
Flawfinder, (buffer) g_get_home_dir, Input Validation and Representation, Path Manipulation,,,,
Flawfinder, (buffer) g_get_tmp_dir, Input Validation and Representation, Path Manipulation,,,,
Flawfinder, (buffer) getc, Input Validation and Representation, Buffer Overflow, API Abuse, Often Misused: Strings ,,
Flawfinder, (buffer) getchar, Input Validation and Representation, Buffer Overflow, API Abuse, Often Misused: Strings,,
Flawfinder, (buffer) getenv, Input Validation and Representation, Setting Manipulation,,,,
Flawfinder, (buffer) getopt, Input Validation and Representation, Buffer Overflow, Code Quality, Inconsistent Implementations,,
Flawfinder, (buffer) getopt_long, Input Validation and Representation, Buffer Overflow, Code Quality, Inconsistent Implementations ,,
Flawfinder, (buffer) getpw, Input Validation and Representation, Buffer Overflow, API Abuse, Dangerous Function,,
Flawfinder, (buffer) gets, Input Validation and Representation, Buffer Overflow, API Abuse, Often Misused: Strings,,
Flawfinder, (buffer) getwd, Input Validation and Representation, Buffer Overflow ,,,,
Flawfinder, (buffer) lstrcat, Input Validation and Representation, Buffer Overflow, API Abuse, Often Misused: Strings,,
Flawfinder, (buffer) lstrcpy, Input Validation and Representation, Buffer Overflow, API Abuse, Often Misused: Strings,,
Flawfinder, (buffer) lstrcpyn, Input Validation and Representation, String Termination Error, API Abuse, Often Misused: Strings,,
Flawfinder, (buffer) memcpy, Input Validation and Representation, Buffer Overflow ,,,,
Flawfinder, (buffer) read, Input Validation and Representation, Buffer Overflow,,,,
Flawfinder, (buffer) realpath, API Abuse, Often Misused: File System,,,,
Flawfinder, (buffer) scanf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings ,,
Flawfinder, (buffer) sprintf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
Flawfinder, (buffer) sscanf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings ,,
Flawfinder, (buffer) strcat, Input Validation and Representation, Buffer Overflow, API Abuse, Often Misused: Strings ,,
Flawfinder, (buffer) strcpy, Input Validation and Representation, Buffer Overflow, API Abuse, Often Misused: Strings ,,
Flawfinder, (buffer) strecpy, Input Validation and Representation, Buffer Overflow, API Abuse, Often Misused: Strings ,,
Flawfinder, (buffer) strlen, Input Validation and Representation, String Termination Error, API Abuse, Often Misused: Strings ,,
Flawfinder, (buffer) strncat, Input Validation and Representation, Buffer Overflow, API Abuse, Often Misused: Strings ,,
Flawfinder, (buffer) strncpy, Input Validation and Representation, String Termination Error, API Abuse, Often Misused: Strings,,
Flawfinder, (buffer) swprintf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
Flawfinder, (buffer) vfscanf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
Flawfinder, (buffer) vfwscanf,Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
Flawfinder, (buffer) vscanf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
Flawfinder, (buffer) vsprintf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
Flawfinder, (buffer) vsscanf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
Flawfinder, (buffer) vswprintf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
Flawfinder, (buffer) vswscanf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings ,,
Flawfinder, (buffer) vwscanf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings ,,
Flawfinder, (buffer) wchar_t, Input Validation and Representation, Buffer Overflow ,,,,
Flawfinder, (buffer) wcscat, Input Validation and Representation, Buffer Overflow, API Abuse, Often Misused: Strings ,,
Flawfinder, (buffer) wcscpy, Input Validation and Representation, Buffer Overflow, API Abuse, Often Misused: Strings,,
Flawfinder, (buffer) wcslen, Input Validation and Representation, String Termination Error, API Abuse, Often Misused: Strings,,
Flawfinder, (buffer) wcsncat, Input Validation and Representation, Buffer Overflow, API Abuse, Often Misused: Strings,,
Flawfinder, (buffer) wcsncpy, Input Validation and Representation, String Termination Error, API Abuse, Often Misused: Strings,,
