repository, IVR, API, SF, TS, ERR, CQ, ENC, ENV
Andersbakken/rtags, 0, 0, 0, 0, 0, 0, 0, 0
Bertram25/ValyriaTear, 0, 0, 0, 0, 0, 0, 0, 0
ChaiScript/ChaiScript, 0, 0, 0, 0, 0, 0, 0, 0
DGtal-team/DGtal, 0, 0, 0, 0, 0, 0, 0, 0
FreeCAD/FreeCAD_sf_master, 0, 0, 0, 0, 0, 0, 0, 0
GollyGang/ready, 0, 0, 0, 0, 0, 0, 0, 0
H-uru/Plasma, 0, 0, 0, 0, 0, 0, 0, 0
InsightSoftwareConsortium/ITK, 4.99900, 0, 0, 0, 0, 95.00000, 0, 0
Itseez/opencv, 0, 0, 0, 0, 0, 0, 0, 0
KDAB/GammaRay, 0, 0, 0, 0, 0, 0, 0, 0
Kazade/kazmath, 0, 0, 0, 0, 0, 0, 0, 0
KhronosGroup/OpenCOLLADA, 0, 0, 0, 0, 0, 0, 0, 0
KiCAD/kicad-source-mirror, 0, 0, 0, 0, 0, 0, 0, 0
Kitware/CMake, 23.52900, 0, 0, 0, 0, 76.47000, 0, 0
KitwareMedical/TubeTK, 0, 0, 0, 0, 0, 0, 0, 0
LaurentGomila/SFML, 0, 0, 0, 0, 0, 0, 0, 0
LiberatorUSA/GUCEF, 0, 0, 0, 0, 0, 0, 0, 0
ManaPlus/ManaPlus, 0, 0, 0, 0, 0, 0, 0, 0
MyGUI/mygui, 0, 0, 0, 0, 0, 0, 0, 0
RainerKuemmerle/g2o, 0, 0, 0, 0, 0, 0, 0, 0
SINTEF-Geometry/GoTools, 0, 0, 0, 0, 0, 0, 0, 0
SimTk/openmm, 0, 0, 0, 0, 0, 0, 0, 0
Slicer/SlicerExecutionModel, 0, 0, 0, 0, 0, 0, 0, 0
SupSuper/OpenXcom, 0, 0, 0, 0, 0, 0, 0, 0
SuperTux/supertux, 0, 0, 0, 0, 0, 0, 0, 0
TUM-I5/ASAGI, 0, 0, 0, 0, 0, 0, 0, 0
TigerVNC/tigervnc, 0, 0, 0, 0, 0, 0, 0, 0
Vatsinator/Vatsinator, 0, 0, 0, 0, 0, 0, 0, 0
VcDevel/Vc, 0, 0, 0, 0, 0, 0, 0, 0
Zeex/samp-plugin-jit, 0, 0, 0, 0, 0, 0, 0, 0
Zeex/samp-plugin-profiler, 0, 0, 0, 0, 0, 0, 0, 0
alecthomas/entityx, 0, 0, 0, 0, 0, 0, 0, 0
alembic/alembic, 0, 0, 0, 0, 0, 0, 0, 0
arx/ArxLibertatis, 0, 0, 0, 0, 0, 0, 0, 0
biometrics/openbr, 0, 0, 0, 0, 0, 0, 0, 0
brezerk/q4wine, 0, 0, 0, 0, 0, 0, 0, 0
brndnmtthws/conky, 0, 0, 0, 0, 0, 0, 0, 0
bro/bro, 0, 0, 0, 0, 0, 0, 0, 0
