repository, IVR, API, SF, TS, ERR, CQ, ENC, ENV
Andersbakken/rtags, 0, 0, 0, 0, 0, 100.00000, 0, 0
Bertram25/ValyriaTear, 0, 0, 0, 0, 0, 100.00000, 0, 0
ChaiScript/ChaiScript, 0, 0, 0, 0, 0, 0, 0, 0
DGtal-team/DGtal, 0, 0, 0, 0, 0, 0, 0, 0
FreeCAD/FreeCAD_sf_master, 3.47800, .86900, 0, 0, 0, 95.65200, 0, 0
GollyGang/ready, 94.73600, 0, 0, 0, 0, 5.26300, 0, 0
H-uru/Plasma, 12.82000, 2.56400, 0, 0, 0, 84.61500, 0, 0
InsightSoftwareConsortium/ITK, 2.94100, 10.29400, 0, 0, 0, 86.76400, 0, 0
Itseez/opencv, 17.02100, 0, 0, 0, 0, 82.97800, 0, 0
KDAB/GammaRay, 0, 0, 0, 0, 0, 0, 0, 0
Kazade/kazmath, 0, 0, 0, 0, 0, 0, 0, 0
KhronosGroup/OpenCOLLADA, 16.66600, 8.33300, 0, 0, 0, 75.00000, 0, 0
KiCAD/kicad-source-mirror, 5.55500, 0, 0, 0, 0, 94.44400, 0, 0
Kitware/CMake, 9.09000, 3.03000, 0, 0, 0, 87.87800, 0, 0
KitwareMedical/TubeTK, 0, 0, 0, 0, 0, 100.00000, 0, 0
LaurentGomila/SFML, 0, 0, 0, 0, 0, 0, 0, 0
LiberatorUSA/GUCEF, 14.37900, 3.26700, 0, 0, 0, 82.35200, 0, 0
ManaPlus/ManaPlus, 0, 0, 0, 0, 0, 100.00000, 0, 0
MyGUI/mygui, 100.00000, 0, 0, 0, 0, 0, 0, 0
RainerKuemmerle/g2o, 0, 0, 0, 0, 0, 100.00000, 0, 0
SINTEF-Geometry/GoTools, 8.06400, 14.51600, 0, 0, 0, 77.41900, 0, 0
SimTk/openmm, 0, 0, 0, 0, 0, 100.00000, 0, 0
Slicer/SlicerExecutionModel, 0, 0, 0, 0, 0, 0, 0, 0
SupSuper/OpenXcom, 100.00000, 0, 0, 0, 0, 0, 0, 0
SuperTux/supertux, 0, 5.55500, 0, 0, 0, 94.44400, 0, 0
TUM-I5/ASAGI, 0, 0, 0, 0, 0, 100.00000, 0, 0
TigerVNC/tigervnc, 2.08300, 72.91600, 0, 0, 0, 25.00000, 0, 0
Vatsinator/Vatsinator, 0, 0, 0, 0, 0, 100.00000, 0, 0
VcDevel/Vc, 0, 0, 0, 0, 0, 0, 0, 0
Zeex/samp-plugin-jit, 0, 0, 0, 0, 0, 0, 0, 0
Zeex/samp-plugin-profiler, 0, 0, 0, 0, 0, 0, 0, 0
alecthomas/entityx, 0, 0, 0, 0, 0, 0, 0, 0
alembic/alembic, 50.00000, 0, 0, 0, 0, 50.00000, 0, 0
arx/ArxLibertatis, 0, 79.99900, 0, 0, 0, 20.00000, 0, 0
biometrics/openbr, 0, 0, 0, 0, 0, 100.00000, 0, 0
brezerk/q4wine, 0, 0, 0, 0, 0, 100.00000, 0, 0
brndnmtthws/conky, 28.00000, 59.99900, 0, 0, 0, 12.00000, 0, 0
bro/bro, 0, 0, 0, 0, 0, 100.00000, 0, 0
bro/pysubnettree, 0, 0, 0, 0, 0, 100.00000, 0, 0
casadi/casadi, 0, 4.76100, 0, 0, 0, 95.23800, 0, 0
chenshuo/muduo, 100.00000, 0, 0, 0, 0, 0, 0, 0
christopho/solarus, 0, 0, 0, 0, 0, 0, 0, 0
cinemast/libjson-rpc-cpp, 0, 14.28500, 0, 0, 0, 85.71400, 0, 0
clintbellanger/flare-engine, 0, 0, 0, 0, 0, 100.00000, 0, 0
cmangos/mangos-classic, 16.00000, 7.99900, 0, 0, 0, 76.00000, 0, 0
cmangos/mangos-wotlk, 12.50000, 8.33300, 0, 0, 0, 79.16600, 0, 0
colobot/colobot, 0, 0, 0, 0, 0, 0, 0, 0
commontk/CTK, 0, 0, 0, 0, 0, 100.00000, 0, 0
commontk/DCMTK, 0, 0, 0, 0, 0, 100.00000, 0, 0
cppformat/cppformat, 0, 0, 0, 0, 0, 0, 0, 0
ddemidov/vexcl, 0, 0, 0, 0, 0, 0, 0, 0
deskvox/deskvox, 40.00000, 0, 0, 0, 0, 60.00000, 0, 0
dorkster/flare-engine-next, 50.00000, 0, 0, 0, 0, 50.00000, 0, 0
edubart/otclient, 0, 0, 0, 0, 0, 100.00000, 0, 0
elemental/Elemental, 0, 0, 0, 0, 0, 100.00000, 0, 0
esa/pagmo, 0, 0, 0, 0, 0, 0, 0, 0
facebook/mysql-5.6, 18.96500, 10.34400, 0, 0, 0, 70.68900, 0, 0
freundlich/fcppt, 0, 0, 0, 0, 0, 0, 0, 0
freundlich/mizuiro, 0, 0, 0, 0, 0, 0, 0, 0
gnuradio/gnuradio, 0, 0, 0, 0, 0, 100.00000, 0, 0
hluk/CopyQ, 0, 0, 0, 0, 0, 100.00000, 0, 0
hpcc-systems/HPCC-Platform, .33000, 10.23100, 0, 0, 0, 89.43800, 0, 0
imageworks/OpenColorIO, 20.00000, 0, 0, 0, 0, 79.99900, 0, 0
jbeder/yaml-cpp, 0, 0, 0, 0, 0, 0, 0, 0
juj/MathGeoLib, 0, 0, 0, 0, 0, 0, 0, 0
koreader/crengine, 0, 9.30200, 0, 0, 0, 90.69700, 0, 0
lalinsky/chromaprint, 0, 0, 0, 0, 0, 100.00000, 0, 0
ledger/ledger, 0, 100.00000, 0, 0, 0, 0, 0, 0
libpinyin/libpinyin, 0, 0, 0, 0, 0, 0, 0, 0
libspatialindex/libspatialindex, 0, 0, 0, 0, 0, 100.00000, 0, 0
lightspark/lightspark, 20.00000, 0, 0, 0, 0, 79.99900, 0, 0
lotem/librime, 0, 0, 0, 0, 0, 0, 0, 0
lxde/pcmanfm-qt, 0, 0, 0, 0, 0, 0, 0, 0
mangosthree/server, 18.44600, 1.94100, 0, 0, 0, 79.61100, 0, 0
mavam/libbf, 0, 0, 0, 0, 0, 0, 0, 0
mempko/firestr, 0, 0, 0, 0, 0, 0, 0, 0
mickem/nscp, 8.33300, 0, 0, 0, 0, 91.66600, 0, 0
mlpack/mlpack, 0, 0, 0, 0, 0, 100.00000, 0, 0
mosra/corrade, 0, 0, 0, 0, 0, 0, 0, 0
msoos/cryptominisat, 33.33300, 33.33300, 0, 0, 0, 33.33300, 0, 0
musescore/MuseScore, 0, 0, 0, 0, 0, 100.00000, 0, 0
nickbruun/hayai, 0, 0, 0, 0, 0, 0, 0, 0
openclonk/openclonk, 2.17300, 4.34700, 0, 0, 0, 93.47800, 0, 0
opengm/opengm, 0, 0, 0, 0, 0, 0, 0, 0
openscenegraph/osg, 0, 7.14200, 0, 0, 0, 92.85700, 0, 0
