repository, IVR, API, SF, TS, ERR, CQ, ENC, ENV
Andersbakken/rtags, 62.44100, 32.68800, .06600, 1.33400, 0, 3.46800, 0, 0
Bertram25/ValyriaTear, 83.74900, 15.62400, .62500, 0, 0, 0, 0, 0
ChaiScript/ChaiScript, 75.00000, 19.99900, 0, 4.99900, 0, 0, 0, 0
DGtal-team/DGtal, 62.85700, 5.71400, 2.85700, 28.57100, 0, 0, 0, 0
FreeCAD/FreeCAD_sf_master, 73.49500, 23.82300, .96100, .60600, 0, 1.11200, 0, 0
GollyGang/ready, 70.06800, 19.38700, 10.54400, 0, 0, 0, 0, 0
H-uru/Plasma, 66.75200, 29.83600, .30000, 2.72400, 0, .38600, 0, 0
InsightSoftwareConsortium/ITK, 66.76900, 31.80800, .47900, .58200, 0, .35900, 0, 0
Itseez/opencv, 74.02500, 24.70100, .15900, .63600, 0, .47700, 0, 0
KDAB/GammaRay, 80.70100, 17.54300, 0, 1.75400, 0, 0, 0, 0
Kazade/kazmath, 100.00000, 0, 0, 0, 0, 0, 0, 0
KhronosGroup/OpenCOLLADA, 60.44500, 34.25300, 0, .15600, 0, 5.14400, 0, 0
KiCAD/kicad-source-mirror, 64.03700, 31.65000, .31500, 2.41800, 0, 1.57700, 0, 0
Kitware/CMake, 66.22900, 30.24700, .66900, .43600, 0, 2.41600, 0, 0
KitwareMedical/TubeTK, 69.56500, 29.56500, .86900, 0, 0, 0, 0, 0
LaurentGomila/SFML, 73.85600, 7.84300, .65300, 17.64700, 0, 0, 0, 0
LiberatorUSA/GUCEF, 68.93100, 24.37100, 1.06300, 5.10100, 0, .53100, 0, 0
ManaPlus/ManaPlus, 80.90900, 16.06000, 2.12100, .30300, 0, .60600, 0, 0
MyGUI/mygui, 86.31100, 5.70300, 7.22400, .76000, 0, 0, 0, 0
RainerKuemmerle/g2o, 94.73600, 3.15700, 1.57800, 0, 0, .52600, 0, 0
SINTEF-Geometry/GoTools, 82.91400, 15.19900, 1.25700, 0, 0, .62800, 0, 0
SimTk/openmm, 94.84300, 3.32800, 1.69700, 0, 0, .13000, 0, 0
Slicer/SlicerExecutionModel, 78.04800, 21.95100, 0, 0, 0, 0, 0, 0
SupSuper/OpenXcom, 75.32400, 6.49300, 3.89600, 0, 0, 14.28500, 0, 0
SuperTux/supertux, 69.78900, 25.17500, 2.81000, .70200, 0, 1.52200, 0, 0
TUM-I5/ASAGI, 87.50000, 0, 2.49900, 7.49900, 0, 2.49900, 0, 0
TigerVNC/tigervnc, 62.37500, 34.10100, .09000, .90300, 0, 2.52900, 0, 0
Vatsinator/Vatsinator, 97.56000, 2.43900, 0, 0, 0, 0, 0, 0
VcDevel/Vc, 81.81800, 18.18100, 0, 0, 0, 0, 0, 0
Zeex/samp-plugin-jit, 76.66600, 22.22200, 0, 0, 0, 1.11100, 0, 0
