repository, IVR, API, SF, TS, ERR, CQ, ENC, ENV
Andersbakken/rtags, 0, 0, 0, 0, 0, 0, 0, 0
Bertram25/ValyriaTear, 0, 0, 0, 0, 0, 0, 0, 0
ChaiScript/ChaiScript, 0, 0, 0, 0, 0, 0, 0, 0
DGtal-team/DGtal, 0, 0, 0, 0, 0, 0, 0, 0
FreeCAD/FreeCAD_sf_master, 0, 0, 0, 0, 0, 0, 0, 0
GollyGang/ready, 0, 0, 0, 0, 0, 0, 0, 0
H-uru/Plasma, 0, 0, 0, 0, 0, 0, 0, 0
InsightSoftwareConsortium/ITK, 0, 0, 0, 0, 0, 0, 0, 0
Itseez/opencv, .66900, .64500, .02400, .17300, 0, 98.48600, 0, 0
KDAB/GammaRay, .40000, .80100, 0, 0, 0, 98.79700, 0, 0
Kazade/kazmath, 0, .53300, 0, 0, 0, 99.46600, 0, 0
KhronosGroup/OpenCOLLADA, .78600, .64700, 0, .09200, 0, 98.47300, 0, 0
KiCAD/kicad-source-mirror, 0, 0, 0, 0, 0, 100.00000, 0, 0
Kitware/CMake, 3.28500, 3.63800, .00300, .32500, 0, 92.74600, 0, 0
KitwareMedical/TubeTK, 0, 0, 0, 0, 0, 0, 0, 0
LaurentGomila/SFML, 0, 8.10800, 0, 0, 0, 91.89100, 0, 0
LiberatorUSA/GUCEF, 1.86900, 6.54200, 0, 4.67200, 0, 85.98100, .93400, 0
ManaPlus/ManaPlus, 0, 0, 0, 0, 0, 0, 0, 0
MyGUI/mygui, 0, 0, 0, 0, 0, 0, 0, 0
RainerKuemmerle/g2o, 0, 0, 0, 0, 0, 0, 0, 0
SINTEF-Geometry/GoTools, 2.37000, .04300, 0, 0, 0, 97.58600, 0, 0
SimTk/openmm, 0, 0, 0, 0, 0, 0, 0, 0
Slicer/SlicerExecutionModel, 0, 0, 0, 0, 0, 0, 0, 0
SupSuper/OpenXcom, 0, 0, 0, 0, 0, 0, 0, 0
SuperTux/supertux, 0, 0, 0, 0, 0, 0, 0, 0
TUM-I5/ASAGI, 0, 0, 0, 0, 0, 0, 0, 0
TigerVNC/tigervnc, 8.12900, 13.56900, 0, .06100, .12200, 77.38300, .61100, .12200
Vatsinator/Vatsinator, 0, 7.69200, 0, 0, 0, 92.30700, 0, 0
VcDevel/Vc, 0, 0, 0, 0, 0, 0, 0, 0
Zeex/samp-plugin-jit, 0, 0, 0, 0, 0, 0, 0, 0
Zeex/samp-plugin-profiler, 23.82900, 16.59500, 0, .85100, 0, 58.72300, 0, 0
alecthomas/entityx, 0, 0, 0, 0, 0, 0, 0, 0
alembic/alembic, 0, 0, 0, 0, 0, 0, 0, 0
arx/ArxLibertatis, 0, 0, 0, 0, 0, 0, 0, 0
biometrics/openbr, 0, 7.69200, 0, 0, 0, 92.30700, 0, 0
