repository, IVR, API, SF, TS, ERR, CQ, ENC, ENV
Andersbakken/rtags, 0, 0, 0, 0, 0, 0, 0, 0
Bertram25/ValyriaTear, 0, 0, 0, 0, 0, 0, 0, 0
ChaiScript/ChaiScript, 0, 0, 0, 0, 0, 100.00000, 0, 0
DGtal-team/DGtal, 18.18100, 0, 0, 0, 0, 81.81800, 0, 0
FreeCAD/FreeCAD_sf_master, 0, 0, 0, 0, 0, 0, 0, 0
GollyGang/ready, 0, 0, 0, 0, 0, 100.00000, 0, 0
H-uru/Plasma, 0, 0, 0, 0, 0, 0, 0, 0
InsightSoftwareConsortium/ITK, 0, 0, 0, 0, 0, 0, 0, 0
Itseez/opencv, 42.67200, 2.15500, 0, 0, 0, 55.17200, 0, 0
KDAB/GammaRay, 10.76900, 0, 0, 0, 0, 89.23000, 0, 0
Kazade/kazmath, 61.11100, 16.66600, 0, 0, 0, 22.22200, 0, 0
KhronosGroup/OpenCOLLADA, 26.94300, 3.62600, 0, 0, 0, 69.43000, 0, 0
KiCAD/kicad-source-mirror, 43.77100, 3.47900, 0, 0, .56100, 52.18800, 0, 0
Kitware/CMake, 14.90500, 5.69100, 0, 0, 0, 79.40300, 0, 0
KitwareMedical/TubeTK, 0, 0, 0, 0, 0, 0, 0, 0
LaurentGomila/SFML, 51.06300, 2.12700, 0, 0, 0, 46.80800, 0, 0
LiberatorUSA/GUCEF, 23.62600, 4.10200, 0, 0, .76900, 71.50100, 0, 0
ManaPlus/ManaPlus, 49.11200, 1.77500, 0, 0, 0, 49.11200, 0, 0
MyGUI/mygui, 35.41600, 2.08300, 0, 0, 2.08300, 60.41600, 0, 0
RainerKuemmerle/g2o, 23.68400, 11.84200, 0, 0, 0, 64.47300, 0, 0
SINTEF-Geometry/GoTools, 53.25500, 8.66800, 0, 0, .70500, 37.37000, 0, 0
SimTk/openmm, 33.89800, 1.80700, 0, 0, .67700, 63.50200, .11200, 0
Slicer/SlicerExecutionModel, 0, 0, 0, 0, 0, 0, 0, 0
SupSuper/OpenXcom, 0, 0, 0, 0, 0, 0, 0, 0
SuperTux/supertux, 0, 0, 0, 0, 0, 0, 0, 0
TUM-I5/ASAGI, 8.33300, 0, 0, 0, 0, 91.66600, 0, 0
TigerVNC/tigervnc, 11.25800, 5.96000, 0, 0, 2.64900, 80.13200, 0, 0
Vatsinator/Vatsinator, 6.32900, 0, 0, 0, 0, 93.67000, 0, 0
VcDevel/Vc, 4.13500, 24.81200, 0, 0, 0, 71.05200, 0, 0
Zeex/samp-plugin-jit, 0, 0, 0, 0, 0, 0, 0, 0
Zeex/samp-plugin-profiler, 0, 0, 0, 0, 0, 0, 0, 0
alecthomas/entityx, 0, 6.66600, 0, 0, 3.33300, 90.00000, 0, 0
