repository, IVR, API, SF, TS, ERR, CQ, ENC, ENV
Andersbakken/rtags, 63.96300, 30.45000, .18000, 3.78300, 0, 1.62100, 0, 0
Bertram25/ValyriaTear, 82.05100, 12.82000, 2.56400, 2.56400, 0, 0, 0, 0
ChaiScript/ChaiScript, 75.00000, 24.99900, 0, 0, 0, 0, 0, 0
DGtal-team/DGtal, 100.00000, 0, 0, 0, 0, 0, 0, 0
FreeCAD/FreeCAD_sf_master, 69.12600, 29.66800, .30100, .90300, 0, 0, 0, 0
GollyGang/ready, 61.85500, 6.18500, 31.95800, 0, 0, 0, 0, 0
H-uru/Plasma, 70.67700, 29.04800, .22800, .04500, 0, 0, 0, 0
InsightSoftwareConsortium/ITK, 69.12100, 29.71500, .25800, .81800, 0, .08600, 0, 0
Itseez/opencv, 75.02900, 23.54300, .71300, .71300, 0, 0, 0, 0
KDAB/GammaRay, 89.28500, 3.57100, 0, 7.14200, 0, 0, 0, 0
Kazade/kazmath, 0, 0, 0, 0, 0, 0, 0, 0
KhronosGroup/OpenCOLLADA, 71.65500, 24.94300, 0, 3.40100, 0, 0, 0, 0
KiCAD/kicad-source-mirror, 69.16600, 30.83300, 0, 0, 0, 0, 0, 0
Kitware/CMake, 74.29400, 20.53200, 1.33200, 3.05600, 0, .78300, 0, 0
KitwareMedical/TubeTK, 73.80900, 23.80900, 2.38000, 0, 0, 0, 0, 0
LaurentGomila/SFML, 87.49900, 4.16600, 4.16600, 4.16600, 0, 0, 0, 0
LiberatorUSA/GUCEF, 68.38700, 28.21100, 2.26700, 1.00700, 0, .12500, 0, 0
ManaPlus/ManaPlus, 77.37200, 13.86800, 2.91900, 5.10900, 0, .72900, 0, 0
MyGUI/mygui, 58.20800, 13.43200, 28.35800, 0, 0, 0, 0, 0
RainerKuemmerle/g2o, 91.39700, 5.37600, 1.07500, 2.15000, 0, 0, 0, 0
SINTEF-Geometry/GoTools, 95.10600, 4.46800, .42500, 0, 0, 0, 0, 0
SimTk/openmm, 78.06400, 16.12900, 5.80600, 0, 0, 0, 0, 0
Slicer/SlicerExecutionModel, 90.00000, 9.99900, 0, 0, 0, 0, 0, 0
SupSuper/OpenXcom, 89.65500, 3.44800, 5.17200, 1.72400, 0, 0, 0, 0
SuperTux/supertux, 74.13200, 17.35000, 5.67800, 2.83900, 0, 0, 0, 0
TUM-I5/ASAGI, 0, 0, 100.00000, 0, 0, 0, 0, 0
TigerVNC/tigervnc, 64.62300, 33.44000, .32200, 1.61200, 0, 0, 0, 0
Vatsinator/Vatsinator, 100.00000, 0, 0, 0, 0, 0, 0, 0
VcDevel/Vc, 100.00000, 0, 0, 0, 0, 0, 0, 0
Zeex/samp-plugin-jit, 85.71400, 14.28500, 0, 0, 0, 0, 0, 0
Zeex/samp-plugin-profiler, 100.00000, 0, 0, 0, 0, 0, 0, 0
alecthomas/entityx, 0, 0, 0, 0, 0, 0, 0, 0
alembic/alembic, 69.23000, 20.51200, 10.25600, 0, 0, 0, 0, 0
arx/ArxLibertatis, 70.96100, 25.97100, 0, 3.06700, 0, 0, 0, 0
biometrics/openbr, 90.24300, 0, 9.75600, 0, 0, 0, 0, 0
brezerk/q4wine, 90.90900, 9.09000, 0, 0, 0, 0, 0, 0
brndnmtthws/conky, 70.89200, 27.67800, .53500, .53500, 0, .35700, 0, 0
bro/bro, 82.62200, 10.74200, 1.73700, 2.84300, 0, 2.05300, 0, 0
bro/pysubnettree, 91.66600, 8.33300, 0, 0, 0, 0, 0, 0
casadi/casadi, 74.13700, 23.27500, 1.72400, .86200, 0, 0, 0, 0
chenshuo/muduo, 95.83300, 0, 0, 2.08300, 0, 2.08300, 0, 0
christopho/solarus, 99.35800, 0, .64100, 0, 0, 0, 0, 0
cinemast/libjson-rpc-cpp, 60.00000, 33.33300, 0, 2.22200, 0, 4.44400, 0, 0
clintbellanger/flare-engine, 80.00000, 6.66600, 6.66600, 6.66600, 0, 0, 0, 0
cmangos/mangos-classic, 68.14300, 28.87500, .76600, 1.61800, 0, .59600, 0, 0
cmangos/mangos-wotlk, 68.49100, 28.55900, .75800, 1.60000, 0, .58900, 0, 0
colobot/colobot, 68.49600, 31.50300, 0, 0, 0, 0, 0, 0
commontk/CTK, 81.25000, 6.24900, 0, 12.50000, 0, 0, 0, 0
commontk/DCMTK, 77.31200, 21.15700, .06600, 1.19700, 0, .26600, 0, 0
cppformat/cppformat, 100.00000, 0, 0, 0, 0, 0, 0, 0
ddemidov/vexcl, 0, 0, 100.00000, 0, 0, 0, 0, 0
deskvox/deskvox, 59.87400, 35.89300, 2.35100, 1.88000, 0, 0, 0, 0
dorkster/flare-engine-next, 84.61500, 0, 7.69200, 7.69200, 0, 0, 0, 0
edubart/otclient, 86.95600, 0, 0, 13.04300, 0, 0, 0, 0
