repository,Input_Validation_Representation,API_Abuse,Security_Features,Time_State,Errors,Code_Quality,Encapsulation,Environment
Andersbakken/rtags,0,0,0,0,0,1,0,0
Bertram25/ValyriaTear,0,0,0,0,0,1,0,0
ChaiScript/ChaiScript,0,0,0,0,0,0,0,0
DGtal-team/DGtal,0,0,0,0,0,0,0,0
FreeCAD/FreeCAD_sf_master,4,1,0,0,0,110,0,0
GollyGang/ready,36,0,0,0,0,2,0,0
H-uru/Plasma,5,1,0,0,0,33,0,0
InsightSoftwareConsortium/ITK,2,7,0,0,0,59,0,0
Itseez/opencv,8,0,0,0,0,39,0,0
KDAB/GammaRay,0,0,0,0,0,0,0,0
Kazade/kazmath,0,0,0,0,0,0,0,0
KhronosGroup/OpenCOLLADA,2,1,0,0,0,9,0,0
KiCAD/kicad-source-mirror,1,0,0,0,0,17,0,0
Kitware/CMake,3,1,0,0,0,29,0,0
KitwareMedical/TubeTK,0,0,0,0,0,4,0,0
LaurentGomila/SFML,0,0,0,0,0,0,0,0
LiberatorUSA/GUCEF,22,5,0,0,0,126,0,0
ManaPlus/ManaPlus,0,0,0,0,0,3,0,0
MyGUI/mygui,22,0,0,0,0,0,0,0
RainerKuemmerle/g2o,0,0,0,0,0,7,0,0
SINTEF-Geometry/GoTools,5,9,0,0,0,48,0,0
SimTk/openmm,0,0,0,0,0,3,0,0
Slicer/SlicerExecutionModel,0,0,0,0,0,0,0,0
SupSuper/OpenXcom,1,0,0,0,0,0,0,0
SuperTux/supertux,0,1,0,0,0,17,0,0
TUM-I5/ASAGI,0,0,0,0,0,1,0,0
TigerVNC/tigervnc,1,35,0,0,0,12,0,0
Vatsinator/Vatsinator,0,0,0,0,0,2,0,0
VcDevel/Vc,0,0,0,0,0,0,0,0
Zeex/samp-plugin-jit,0,0,0,0,0,0,0,0
Zeex/samp-plugin-profiler,0,0,0,0,0,0,0,0
alecthomas/entityx,0,0,0,0,0,0,0,0
alembic/alembic,1,0,0,0,0,1,0,0
arx/ArxLibertatis,0,8,0,0,0,2,0,0
biometrics/openbr,0,0,0,0,0,3,0,0
brezerk/q4wine,0,0,0,0,0,7,0,0
brndnmtthws/conky,7,15,0,0,0,3,0,0
bro/bro,0,0,0,0,0,7,0,0
bro/pysubnettree,0,0,0,0,0,1,0,0
casadi/casadi,0,1,0,0,0,20,0,0
chenshuo/muduo,1,0,0,0,0,0,0,0
christopho/solarus,0,0,0,0,0,0,0,0
cinemast/libjson-rpc-cpp,0,1,0,0,0,6,0,0
clintbellanger/flare-engine,0,0,0,0,0,1,0,0
cmangos/mangos-classic,4,2,0,0,0,19,0,0
cmangos/mangos-wotlk,3,2,0,0,0,19,0,0
colobot/colobot,0,0,0,0,0,0,0,0
commontk/CTK,0,0,0,0,0,2,0,0
commontk/DCMTK,0,0,0,0,0,73,0,0
cppformat/cppformat,0,0,0,0,0,0,0,0
ddemidov/vexcl,0,0,0,0,0,0,0,0
deskvox/deskvox,2,0,0,0,0,3,0,0
dorkster/flare-engine-next,1,0,0,0,0,1,0,0
edubart/otclient,0,0,0,0,0,7,0,0
elemental/Elemental,0,0,0,0,0,27,0,0
esa/pagmo,0,0,0,0,0,0,0,0
facebook/mysql-5.6,11,6,0,0,0,41,0,0
freundlich/fcppt,0,0,0,0,0,0,0,0
freundlich/mizuiro,0,0,0,0,0,0,0,0
gnuradio/gnuradio,0,0,0,0,0,18,0,0
hluk/CopyQ,0,0,0,0,0,1,0,0
hpcc-systems/HPCC-Platform,1,31,0,0,0,271,0,0
imageworks/OpenColorIO,1,0,0,0,0,4,0,0
jbeder/yaml-cpp,0,0,0,0,0,0,0,0
juj/MathGeoLib,0,0,0,0,0,0,0,0
koreader/crengine,0,12,0,0,0,117,0,0
lalinsky/chromaprint,0,0,0,0,0,1,0,0
ledger/ledger,0,12,0,0,0,0,0,0
libpinyin/libpinyin,0,0,0,0,0,0,0,0
libspatialindex/libspatialindex,0,0,0,0,0,5,0,0
lightspark/lightspark,1,0,0,0,0,4,0,0
lotem/librime,0,0,0,0,0,0,0,0
lxde/pcmanfm-qt,0,0,0,0,0,0,0,0
mangosthree/server,19,2,0,0,0,82,0,0
mavam/libbf,0,0,0,0,0,0,0,0
mempko/firestr,0,0,0,0,0,0,0,0
mickem/nscp,3,0,0,0,0,33,0,0
mlpack/mlpack,0,0,0,0,0,4,0,0
mosra/corrade,0,0,0,0,0,0,0,0
msoos/cryptominisat,1,1,0,0,0,1,0,0
musescore/MuseScore,0,0,0,0,0,6,0,0
nickbruun/hayai,0,0,0,0,0,0,0,0
openclonk/openclonk,1,2,0,0,0,43,0,0
opengm/opengm,0,0,0,0,0,0,0,0
openscenegraph/osg,0,2,0,0,0,26,0,0
orocos-toolchain/typelib,0,0,0,0,0,0,0,0
percona/percona-server,7,7,0,0,0,30,0,0
quassel/quassel,0,0,0,0,0,0,0,0
rime/librime,0,0,0,0,0,0,0,0
root-mirror/root,24,19,0,0,0,112,0,0
sakra/cotire,0,0,0,0,0,0,0,0
samstyle/Xpeccy,0,12,0,0,0,22,0,0
saschazelzer/CppMicroServices,0,0,0,0,0,0,0,0
scross99/locic,0,0,0,0,0,1,0,0
simongog/sdsl-lite,0,0,0,0,0,0,0,0
spring/pr-downloader,1,0,0,0,0,2,0,0
stevenlovegrove/Pangolin,0,0,0,0,0,3,0,0
strasdat/Sophus,0,0,0,0,0,0,0,0
stuntrally/stuntrally,29,0,0,0,0,6,0,0
supercollider/sc3-plugins,6,1,0,0,0,6,0,0
supercollider/supercollider,12,10,0,0,0,38,0,0
supertuxkart/stk-code,16,0,0,0,0,2,0,0
symengine/symengine,0,0,0,0,0,0,0,0
syndicodefront/infekt,0,0,0,0,0,0,0,0
taglib/taglib,0,0,0,0,0,2,0,0
texus/TGUI,0,0,0,0,0,1,0,0
thesamet/rpcz,0,0,0,0,0,0,0,0
thewtex/tmux-mem-cpu-load,0,0,0,0,0,0,0,0
tpaviot/oce,8,2,0,0,0,35,0,0
tumi8/vermont,0,0,0,0,0,2,0,0
ukoethe/vigra,0,0,0,0,0,1,0,0
user-none/Sigil,9,2,0,0,0,5,0,0
vcmi/vcmi,1,0,0,0,0,4,0,0
vinipsmaker/tufao,0,0,0,0,0,0,0,0
wesnoth/wesnoth,4,0,0,0,0,2,0,0
xrootd/xrootd,6,11,0,0,0,49,0,0
Total,292,222,0,0,0,1705,0,0
