repository,Input_Validation_Representation,API_Abuse,Security_Features,Time_State,Errors,Code_Quality,Encapsulation,Environment
Andersbakken/rtags,936,490,1,20,0,52,0,0
Bertram25/ValyriaTear,134,25,1,0,0,0,0,0
ChaiScript/ChaiScript,15,4,0,1,0,0,0,0
DGtal-team/DGtal,44,4,2,20,0,0,0,0
FreeCAD/FreeCAD_sf_master,1453,471,19,12,0,22,0,0
GollyGang/ready,206,57,31,0,0,0,0,0
H-uru/Plasma,3112,1391,14,127,0,18,0,0
InsightSoftwareConsortium/ITK,3898,1857,28,34,0,21,0,0
Itseez/opencv,1861,621,4,16,0,12,0,0
KDAB/GammaRay,46,10,0,1,0,0,0,0
Kazade/kazmath,10,0,0,0,0,0,0,0
KhronosGroup/OpenCOLLADA,1927,1092,0,5,0,164,0,0
KiCAD/kicad-source-mirror,609,301,3,23,0,15,0,0
Kitware/CMake,2275,1039,23,15,0,83,0,0
KitwareMedical/TubeTK,80,34,1,0,0,0,0,0
LaurentGomila/SFML,113,12,1,27,0,0,0,0
LiberatorUSA/GUCEF,2851,1008,44,211,0,22,0,0
ManaPlus/ManaPlus,267,53,7,1,0,2,0,0
MyGUI/mygui,227,15,19,2,0,0,0,0
RainerKuemmerle/g2o,180,6,3,0,0,1,0,0
SINTEF-Geometry/GoTools,791,145,12,0,0,6,0,0
SimTk/openmm,1453,51,26,0,0,2,0,0
Slicer/SlicerExecutionModel,32,9,0,0,0,0,0,0
SupSuper/OpenXcom,58,5,3,0,0,11,0,0
SuperTux/supertux,596,215,24,6,0,13,0,0
TUM-I5/ASAGI,35,0,1,3,0,1,0,0
TigerVNC/tigervnc,1381,755,2,20,0,56,0,0
Vatsinator/Vatsinator,40,1,0,0,0,0,0,0
VcDevel/Vc,18,4,0,0,0,0,0,0
Zeex/samp-plugin-jit,69,20,0,0,0,1,0,0
Zeex/samp-plugin-profiler,20,0,0,0,0,0,0,0
alecthomas/entityx,4,0,0,0,0,0,0,0
alembic/alembic,40,7,2,1,0,0,0,0
arx/ArxLibertatis,1089,448,5,3,0,0,0,0
biometrics/openbr,169,3,66,0,0,1,0,0
brezerk/q4wine,45,4,0,0,0,0,0,0
brndnmtthws/conky,1070,681,8,8,0,345,0,0
bro/bro,1800,415,13,38,0,104,0,0
bro/pysubnettree,49,22,0,0,0,0,0,0
casadi/casadi,312,177,2,0,0,0,0,0
chenshuo/muduo,117,6,0,0,0,23,0,0
christopho/solarus,242,14,1,0,0,0,0,0
cinemast/libjson-rpc-cpp,126,45,0,0,0,2,0,0
clintbellanger/flare-engine,203,1,1,0,0,0,0,0
cmangos/mangos-classic,2071,834,25,3,0,86,0,0
cmangos/mangos-wotlk,2104,845,26,3,0,89,0,0
colobot/colobot,0,0,0,0,0,0,0,0
