repository,Input_Validation_Representation,API_Abuse,Security_Features,Time_State,Errors,Code_Quality,Encapsulation,Environment
Andersbakken/rtags,0,0,0,0,0,0,0,0
Bertram25/ValyriaTear,2,12,0,0,1,66,0,0
ChaiScript/ChaiScript,0,0,0,0,0,3,0,0
DGtal-team/DGtal,0,1,0,0,0,98,0,0
FreeCAD/FreeCAD_sf_master,0,0,0,0,0,0,0,0
GollyGang/ready,1,0,0,0,0,1,0,0
H-uru/Plasma,0,0,0,0,0,0,0,0
InsightSoftwareConsortium/ITK,0,0,0,0,0,0,0,0
Itseez/opencv,960,74,0,0,18,765,0,1
KDAB/GammaRay,0,0,0,0,0,5,0,0
Kazade/kazmath,14,2,0,0,0,3,0,0
KhronosGroup/OpenCOLLADA,46,0,0,0,0,139,0,0
KiCAD/kicad-source-mirror,0,0,0,0,0,0,0,0
Kitware/CMake,66,28,0,0,0,227,0,0
KitwareMedical/TubeTK,0,0,0,0,0,0,0,0
LaurentGomila/SFML,14,1,0,0,0,29,0,0
LiberatorUSA/GUCEF,259,157,0,0,11,842,0,0
ManaPlus/ManaPlus,58,6,0,0,0,134,0,0
MyGUI/mygui,37,3,0,0,0,53,0,0
RainerKuemmerle/g2o,13,6,0,0,0,37,0,0
SINTEF-Geometry/GoTools,0,0,0,0,0,0,0,0
SimTk/openmm,366,86,0,0,49,314,0,0
Slicer/SlicerExecutionModel,0,0,0,0,0,0,0,0
SupSuper/OpenXcom,9,0,0,0,0,87,0,0
SuperTux/supertux,136,6,0,0,3,152,0,0
TUM-I5/ASAGI,1,0,0,0,0,11,0,0
TigerVNC/tigervnc,101,39,0,0,2,335,0,0
Vatsinator/Vatsinator,7,0,0,0,0,4,0,0
VcDevel/Vc,3,0,0,0,0,45,0,0
Zeex/samp-plugin-jit,15,0,0,0,0,101,0,0
Zeex/samp-plugin-profiler,1,0,0,0,0,5,0,0
alecthomas/entityx,0,0,0,0,0,1,0,0
alembic/alembic,0,0,0,0,0,0,0,0
arx/ArxLibertatis,302,27,0,0,0,401,0,0
biometrics/openbr,29,0,0,0,0,9,0,0
brezerk/q4wine,0,2,0,0,0,1,0,0
brndnmtthws/conky,0,0,0,0,0,0,0,0
bro/bro,0,0,0,0,0,0,0,0
bro/pysubnettree,10,5,0,0,0,8,0,0
casadi/casadi,0,0,0,0,0,0,0,0
chenshuo/muduo,9,53,0,0,0,4,0,0
christopho/solarus,8,0,0,0,10,205,0,0
cinemast/libjson-rpc-cpp,0,0,0,0,0,0,0,0
clintbellanger/flare-engine,3,1,0,0,0,69,0,0
cmangos/mangos-classic,324,25,0,0,0,718,0,0
cmangos/mangos-wotlk,340,27,0,0,0,1585,0,0
colobot/colobot,0,0,0,0,0,0,0,0
commontk/CTK,0,0,0,0,0,0,0,0
commontk/DCMTK,174,53,0,0,0,1056,0,0
cppformat/cppformat,0,0,0,0,0,2,0,0
ddemidov/vexcl,2,0,0,0,1,15,0,0
deskvox/deskvox,89,5,0,0,0,189,0,0
dorkster/flare-engine-next,3,0,0,0,0,79,0,0
edubart/otclient,42,2,0,0,0,56,0,0
elemental/Elemental,0,0,0,0,0,5,0,0
esa/pagmo,37,0,0,0,2,105,0,0
facebook/mysql-5.6,188,86,0,0,1,331,0,9
freundlich/fcppt,0,75,0,0,0,32,0,0
freundlich/mizuiro,0,13,0,0,0,24,0,0
gnuradio/gnuradio,77,50,0,0,2,150,0,1
hluk/CopyQ,0,2,0,0,0,9,0,0
hpcc-systems/HPCC-Platform,231,273,0,0,25,1741,0,10
imageworks/OpenColorIO,3,0,0,0,0,13,0,0
jbeder/yaml-cpp,0,0,0,0,0,15,0,0
juj/MathGeoLib,7,3,0,0,0,62,0,0
koreader/crengine,5,21,0,0,2,295,0,0
lalinsky/chromaprint,3,0,0,0,0,2,0,0
ledger/ledger,2,2,0,0,0,88,0,0
libpinyin/libpinyin,26,23,0,0,0,23,0,0
