repository,Input_Validation_Representation,API_Abuse,Security_Features,Time_State,Errors,Code_Quality,Encapsulation,Environment
Andersbakken/rtags,82,7,0,10,0,2,0,0
Bertram25/ValyriaTear,36,0,1,0,0,0,0,0
ChaiScript/ChaiScript,4,0,0,0,0,0,0,0
DGtal-team/DGtal,12,0,1,0,0,0,0,0
FreeCAD/FreeCAD_sf_master,588,241,2,8,0,0,0,0
GollyGang/ready,8,1,1,0,0,0,0,0
H-uru/Plasma,934,388,3,1,0,0,0,0
InsightSoftwareConsortium/ITK,2331,967,8,23,0,34,0,0
Itseez/opencv,756,180,11,6,0,0,0,0
KDAB/GammaRay,32,0,0,7,0,0,0,0
Kazade/kazmath,0,0,0,0,0,0,0,0
KhronosGroup/OpenCOLLADA,353,117,0,16,0,0,0,0
KiCAD/kicad-source-mirror,280,78,0,0,0,0,0,0
Kitware/CMake,1076,293,19,37,0,14,0,0
KitwareMedical/TubeTK,49,10,3,0,0,0,0,0
LaurentGomila/SFML,64,1,1,0,0,0,0,0
LiberatorUSA/GUCEF,1535,802,21,35,0,8,0,0
ManaPlus/ManaPlus,156,15,5,13,0,1,0,0
MyGUI/mygui,65,10,19,0,0,0,0,0
RainerKuemmerle/g2o,117,5,1,4,0,0,0,0
SINTEF-Geometry/GoTools,506,22,3,0,0,0,0,0
SimTk/openmm,162,29,10,0,0,0,0,0
Slicer/SlicerExecutionModel,8,0,0,0,0,0,0,0
SupSuper/OpenXcom,74,8,2,2,0,0,0,0
SuperTux/supertux,217,50,19,9,0,0,0,0
TUM-I5/ASAGI,2,0,0,0,0,0,0,0
TigerVNC/tigervnc,271,128,3,13,0,0,0,0
Vatsinator/Vatsinator,15,0,0,0,0,0,0,0
VcDevel/Vc,4,0,0,0,0,0,0,0
Zeex/samp-plugin-jit,14,0,1,0,0,0,0,0
Zeex/samp-plugin-profiler,4,0,0,0,0,0,0,0
alecthomas/entityx,0,0,1,0,0,0,0,0
alembic/alembic,82,7,4,1,0,0,0,0
arx/ArxLibertatis,249,31,0,17,0,0,0,0
biometrics/openbr,207,33,5,6,0,1,0,0
brezerk/q4wine,17,2,0,0,0,0,0,0
brndnmtthws/conky,410,161,3,3,0,2,0,0
bro/bro,555,64,13,19,0,15,0,0
bro/pysubnettree,12,1,0,0,0,0,0,0
casadi/casadi,140,43,2,2,0,0,0,0
chenshuo/muduo,88,0,1,1,0,1,0,0
christopho/solarus,13,0,0,1,0,0,0,0
cinemast/libjson-rpc-cpp,19,6,0,1,0,0,0,0
clintbellanger/flare-engine,40,2,1,0,0,0,0,0
cmangos/mangos-classic,781,326,10,18,0,7,0,0
cmangos/mangos-wotlk,792,326,9,18,0,7,0,0
colobot/colobot,117,30,0,4,0,2,0,0
commontk/CTK,17,3,0,2,0,0,0,0
commontk/DCMTK,2567,306,1,23,0,2,0,0
cppformat/cppformat,6,3,0,0,0,0,0,0
ddemidov/vexcl,0,0,0,0,0,0,0,0
deskvox/deskvox,364,210,15,12,0,0,0,0
dorkster/flare-engine-next,40,2,1,0,0,0,0,0
edubart/otclient,67,1,0,10,0,1,0,0
elemental/Elemental,13,5,1,0,0,0,0,0
esa/pagmo,7,7,5,0,0,0,0,0
facebook/mysql-5.6,3529,782,32,121,0,23,0,0
freundlich/fcppt,6,1,0,3,0,0,0,0
freundlich/mizuiro,0,0,0,0,0,0,0,0
gnuradio/gnuradio,281,51,33,6,0,3,0,0
hluk/CopyQ,10,0,0,0,0,0,0,0
hpcc-systems/HPCC-Platform,3070,521,33,391,0,6,0,0
imageworks/OpenColorIO,49,8,0,0,0,0,0,0
jbeder/yaml-cpp,3,0,1,0,0,0,0,0
juj/MathGeoLib,55,5,0,0,0,0,0,0
koreader/crengine,217,67,0,5,0,0,0,0
lalinsky/chromaprint,4,3,0,0,0,3,0,0
ledger/ledger,78,8,0,9,0,0,0,0
libpinyin/libpinyin,22,8,0,0,0,0,0,0
libspatialindex/libspatialindex,25,0,15,1,0,0,0,0
lightspark/lightspark,125,3,1,31,0,0,0,0
lotem/librime,268,27,2,4,0,0,0,0
lxde/pcmanfm-qt,5,0,0,0,0,0,0,0
mangosthree/server,419,169,2,11,0,2,0,0
mavam/libbf,0,0,0,0,0,0,0,0
mempko/firestr,74,17,0,1,0,0,0,0
mickem/nscp,497,164,20,13,0,2,0,0
mlpack/mlpack,7,0,0,0,0,0,0,0
mosra/corrade,34,0,0,1,0,0,0,0
msoos/cryptominisat,12,8,10,4,0,0,0,0
musescore/MuseScore,929,95,4,6,0,3,0,0
nickbruun/hayai,0,0,0,0,0,0,0,0
openclonk/openclonk,441,110,0,2,0,4,0,0
opengm/opengm,1,0,2,0,0,0,0,0
openscenegraph/osg,2546,186,68,24,0,1,0,0
orocos-toolchain/typelib,10,0,0,0,0,0,0,0
percona/percona-server,3163,668,46,107,0,23,0,0
quassel/quassel,27,5,3,6,0,0,0,0
rime/librime,268,27,2,4,0,0,0,0
root-mirror/root,3524,830,78,59,0,7,0,0
sakra/cotire,0,0,0,0,0,0,0,0
samstyle/Xpeccy,150,93,0,1,0,0,0,0
saschazelzer/CppMicroServices,144,27,1,8,0,1,0,0
scross99/locic,8,3,0,1,0,0,0,0
simongog/sdsl-lite,29,17,12,2,0,0,0,0
spring/pr-downloader,58,13,3,3,0,2,0,0
stevenlovegrove/Pangolin,59,1,0,4,0,0,0,0
strasdat/Sophus,0,0,0,0,0,0,0,0
stuntrally/stuntrally,137,21,2,0,0,0,0,0
supercollider/sc3-plugins,116,28,2,8,0,0,0,0
supercollider/supercollider,527,171,2,11,0,3,0,0
supertuxkart/stk-code,560,193,19,7,0,0,0,0
symengine/symengine,12,6,0,3,0,0,0,0
syndicodefront/infekt,56,14,0,1,0,3,0,0
taglib/taglib,124,0,0,0,0,0,0,0
texus/TGUI,33,0,0,0,0,0,0,0
thesamet/rpcz,20,1,0,5,0,0,0,0
thewtex/tmux-mem-cpu-load,3,1,0,0,0,1,0,0
tpaviot/oce,942,259,13,13,0,0,0,0
tumi8/vermont,134,50,2,6,0,2,0,0
ukoethe/vigra,53,10,0,0,0,0,0,0
user-none/Sigil,701,272,9,6,0,0,0,0
vcmi/vcmi,82,5,6,1,0,0,0,0
vinipsmaker/tufao,5,0,0,0,0,0,0,0
wesnoth/wesnoth,232,16,9,2,0,0,0,0
xrootd/xrootd,2216,773,8,54,0,34,0,0
total,42458,10658,646,1267,0,220,0,0
