taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, examples/tagreader.cpp,35, fixed size local buffer, NA, NA, NA, Deleted, NA, NA, NA, FFP3, Input Validation and Representation, Buffer Overflow,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/toolkit/tbytevector.cpp,45, fixed size local buffer, taglib/toolkit/tbytevector.cpp,51, NA, Altered, Constant, No, NA, FFP2, Input Validation and Representation, Buffer Overflow,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/toolkit/tbytevector.cpp,45, fixed size local buffer, taglib/toolkit/tbytevector.cpp,52, NA, Altered, Constant, No, NA, FFP2, Input Validation and Representation, Buffer Overflow,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/toolkit/tbytevector.cpp,45, fixed size local buffer, taglib/toolkit/tbytevector.cpp,77, NA, Altered, Constant, No, NA, FFP2, Input Validation and Representation, Buffer Overflow,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/toolkit/tdebug.cpp,44, fixed size local buffer, taglib/toolkit/tdebug.cpp,54, NA, Altered, Constant, No, NA, FFP2, Input Validation and Representation, Buffer Overflow,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/toolkit/tdebug.cpp,44, fixed size local buffer, taglib/toolkit/tdebug.cpp,55, NA, Altered, Constant, No, NA, FFP2, Input Validation and Representation, Buffer Overflow,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/toolkit/tdebug.cpp,44, fixed size local buffer, taglib/toolkit/tdebug.cpp,57, NA, Altered, Constant, No, NA, FFP2, Input Validation and Representation, Buffer Overflow,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/toolkit/tstring.cpp,262, fixed size local buffer, taglib/toolkit/tstring.cpp,295, NA, Altered, Constant, No, NA, FFP2, Input Validation and Representation, Buffer Overflow,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/toolkit/unicode.cpp,71, fixed size local buffer, NA, NA, NA, Deleted, NA, NA, NA, FFP3, Input Validation and Representation, Buffer Overflow,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/toolkit/tstring.cpp,270, strcpy, taglib/toolkit/tstring.cpp,296, NA, Altered, Constant, No, NA, FFP2, Input Validation and Representation, Buffer Overflow, API Abuse, Often Misused: Strings,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/ape/apefile.cpp,93, read, taglib/ape/apefile.cpp,107, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/ape/apefile.cpp,100, read, taglib/ape/apefile.cpp,115, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/ape/apefile.cpp,243, read, taglib/ape/apefile.cpp,259, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/ape/apefile.cpp,243, read, taglib/ape/apefile.cpp,263, NA, Altered, Constant, No, NA, FFP2, Input Validation and Representation, Buffer Overflow ,,,,
