Project,tool,file_old,line_old,file_new,line_new,threshhold,version_altered,date_altered,day,type,subtype,type,subtype
Andersbakken/rtags, RATS, src/rdm.cpp,130, src/rdm.cpp,367   -   ,0.766233766, a35b0931a8d74dc1eb5ca0c0f59c06fb9a5d1fce,1475177475,1552,  Input Validation and Representation, Buffer Overflow, Code Quality, Inconsistent Implementations
Andersbakken/rtags, Flawfinder, src/rdm.cpp,130, src/rdm.cpp,367   -   ,0.766233766, a35b0931a8d74dc1eb5ca0c0f59c06fb9a5d1fce,1475177475,1552,  Input Validation and Representation, Buffer Overflow, Code Quality, Inconsistent Implementations
Bertram25/ValyriaTear, RATS, src/engine/video/image.cpp,407, src/engine/video/image.cpp,409   -   ,0.740740741, 87efe07391b4e33f159772baf211997e3a0abdcc,1489833933,1721,  API Abuse, Heap Inspection,,
Bertram25/ValyriaTear, RATS, src/engine/video/image_base.cpp,219, src/engine/video/image_base.cpp,355   -   356   -   ,0.745762712, 671454164e6c5d5b74dd7794a6ee3b387a038f7f 671454164e6c5d5b74dd7794a6ee3b387a038f7f,1446767824,1223,  API Abuse, Heap Inspection, API Abuse, Heap Inspection
Bertram25/ValyriaTear, Flawfinder, src/common/gui/option.cpp,828, src/common/gui/option.cpp,913   -   ,0.319148936, bfc5e09dfe6b648036d440c9c03c99e8720cc406,1448136988,1239,  Input Validation and Representation, Integer Overflow,,
Bertram25/ValyriaTear, Flawfinder, src/engine/audio/audio.h,179, src/engine/audio/audio.h,187   -   ,0.671875, 1bd55d46d03229e0f6d2bdf28f8f201faa4f67ea,1351132264,116,  Input Validation and Representation, Buffer Overflow ,,
Bertram25/ValyriaTear, Flawfinder, src/engine/audio/audio.h,182, src/engine/audio/audio.h,191   -   ,0.65625, 1bd55d46d03229e0f6d2bdf28f8f201faa4f67ea,1351132264,116,  Input Validation and Representation, Buffer Overflow ,,
Bertram25/ValyriaTear, Flawfinder, src/engine/audio/audio.h,185, src/engine/audio/audio.h,195   -   ,0.657142857, 1bd55d46d03229e0f6d2bdf28f8f201faa4f67ea,1351132264,116,  Input Validation and Representation, Buffer Overflow ,,
Bertram25/ValyriaTear, Flawfinder, src/engine/video/image.cpp,826, src/engine/video/image.cpp,745   -   746   -   747   -   ,0.751824818, 671454164e6c5d5b74dd7794a6ee3b387a038f7f 671454164e6c5d5b74dd7794a6ee3b387a038f7f 671454164e6c5d5b74dd7794a6ee3b387a038f7f,1446767824,1223,  Input Validation and Representation, Buffer Overflow , Input Validation and Representation, Buffer Overflow
Bertram25/ValyriaTear, Flawfinder, src/engine/video/image_base.cpp,264, src/engine/video/image_base.cpp,404   -   406   -   ,0.689320388, 1aae7b921fd57583b801b25f2acc02c06efde17d 671454164e6c5d5b74dd7794a6ee3b387a038f7f,1446767824,1223,  Input Validation and Representation, Buffer Overflow , Input Validation and Representation, Buffer Overflow
Bertram25/ValyriaTear, Flawfinder, src/engine/video/texture_controller.cpp,528, src/engine/video/texture_controller.cpp,397   -   ,0.272727273, bfc5e09dfe6b648036d440c9c03c99e8720cc406,1448136988,1239,  Input Validation and Representation, Integer Overflow,,
Bertram25/ValyriaTear, Flawfinder, src/engine/video/texture_controller.cpp,532, src/engine/video/texture_controller.cpp,401   -   ,0.272727273, bfc5e09dfe6b648036d440c9c03c99e8720cc406,1448136988,1239,  Input Validation and Representation, Integer Overflow,,
Bertram25/ValyriaTear, Flawfinder, src/engine/video/texture_controller.cpp,538, src/engine/video/texture_controller.cpp,406   -   407   -   408   -   ,0.778688525, 671454164e6c5d5b74dd7794a6ee3b387a038f7f 671454164e6c5d5b74dd7794a6ee3b387a038f7f 671454164e6c5d5b74dd7794a6ee3b387a038f7f,1446767824,1223,  Input Validation and Representation, Buffer Overflow , Input Validation and Representation, Buffer Overflow
Bertram25/ValyriaTear, PVS-Studio, src/engine/video/coord_sys.h,33, src/engine/video/coord_sys.h,34   -   35   -   ,0.789473684, d4823e7ce559f5e83897a3ec19418c469503ed8c d4823e7ce559f5e83897a3ec19418c469503ed8c,1351134475,116,  Code Quality, Uninitialized Variable, Code Quality, Uninitialized Variable
Bertram25/ValyriaTear, PVS-Studio, src/common/common_bindings.cpp,51, src/common/common_bindings.cpp,57   -   ,0.186666667, 9a2471591c9469ec5ca093cd0caf97a9d8aaedf7,1365254743,279,  Code Quality, General ,,
Bertram25/ValyriaTear, PVS-Studio, src/common/common_bindings.cpp,128, src/common/common_bindings.cpp,151   -   ,0.135135135, b65a3a3320fc578c111316edf99ebfdb2c9872e2,1342128055,12,  Code Quality, General ,,
Bertram25/ValyriaTear, PVS-Studio, src/modes/shop/shop.cpp,1059, src/modes/shop/shop.cpp,1105   -   ,0.242424242, f8f88933165726508faf9a72eaaa2c4ae9d6818b,1440985549,1156,  API Abuse, Often Misused: Exception Handling,,
Bertram25/ValyriaTear, PVS-Studio, src/modes/mode_bindings.cpp,69, src/modes/mode_bindings.cpp,79   -   ,0.172413793, b65a3a3320fc578c111316edf99ebfdb2c9872e2,1342128055,12,  Code Quality, General ,,
Bertram25/ValyriaTear, PVS-Studio, src/modes/mode_bindings.cpp,599, src/modes/mode_bindings.cpp,784   -   ,0.151515152, b65a3a3320fc578c111316edf99ebfdb2c9872e2,1342128055,12,  Code Quality, General ,,
Bertram25/ValyriaTear, PVS-Studio, src/modes/battle/battle_indicators.cpp,182, src/engine/indicator_supervisor.cpp,143   -   ,0.196721311, ef635c169b8a1a66c604b420740a5de39c3db62a,1386026208,520,  Code Quality, General,,
Bertram25/ValyriaTear, PVS-Studio, src/modes/battle/battle_command.cpp,604, src/modes/battle/battle_command.cpp,633   -   ,0.054054054, af1fcc1e759c44df8442d44add2350c0d517d500,1392837280,599,  Code Quality, Uninitialized Variable,,
Bertram25/ValyriaTear, PVS-Studio, src/modes/save/save_mode.cpp,205, src/modes/save/save_mode.cpp,233   -   ,0.294117647, 81ee47623d046a2de44b1980b9f651eefa8b429b,1351135929,116,  API Abuse, Often Misused: Exception Handling,,
Bertram25/ValyriaTear, PVS-Studio, src/engine/engine_bindings.cpp,146, src/engine/engine_bindings.cpp,203   -   ,0.240740741, 9a2471591c9469ec5ca093cd0caf97a9d8aaedf7,1365254743,279,  Code Quality, General ,,
Bertram25/ValyriaTear, PVS-Studio, src/engine/engine_bindings.cpp,200, src/engine/engine_bindings.cpp,275   -   ,0.277777778, b65a3a3320fc578c111316edf99ebfdb2c9872e2,1342128055,12,  Code Quality, General ,,
Bertram25/ValyriaTear, PVS-Studio, src/engine/video/texture.cpp,69, src/engine/video/texture.cpp,70   -   ,0.058252427, 0781eec2b3f038ae67db9edd32abd49c601364ca,1346851666,66,  Code Quality, General ,,
Bertram25/ValyriaTear, PVS-Studio, src/engine/video/image.cpp,224, src/engine/video/image.cpp,233   -   ,0.793650794, 37709fd65a1e5d2aa76627c7c9a1fdb58a0e22d3,1376351835,408,  API Abuse, Often Misused: Exception Handling,,
Bertram25/ValyriaTear, PVS-Studio, src/engine/video/image.cpp,271, src/engine/video/image.cpp,279   -   ,0.793650794, 37709fd65a1e5d2aa76627c7c9a1fdb58a0e22d3,1376351835,408,  API Abuse, Often Misused: Exception Handling,,
Bertram25/ValyriaTear, PVS-Studio, src/engine/video/image.cpp,407, src/engine/video/image.cpp,409   -   ,0.740740741, 87efe07391b4e33f159772baf211997e3a0abdcc,1489833933,1721,  Code Quality, Memory Leak,,
Bertram25/ValyriaTear, PVS-Studio, src/engine/video/image.cpp,435, src/engine/video/image.cpp,431   -   ,0.377358491, 279543929f9b075cb3d9775a58d5e9a27e121835,1379549059,445,  Code Quality, General,,
Bertram25/ValyriaTear, PVS-Studio, src/engine/video/image_base.cpp,102, src/engine/video/image_base.cpp,96   -   ,0.553846154, 671454164e6c5d5b74dd7794a6ee3b387a038f7f,1446767824,1223,  Input Validation and Representation, Buffer Overflow,,
