project,v1_date,v1_commit,v2_date,v2_commit
01org/parameter-framework,13-Apr-17,965b2af85fdfa5f7cf01e120c96ef7c9b806c70b,4-Sep-12,cec86c1904a45a7027218adb3d34c8764bdfcc38
0ad/0ad,3-Jul-17,8a4f77ca2ea5edbafb8041b72b691cc569fa9ee2,30-Dec-12,6b82de3bd74a59a401beaab6d7b3aaa57448c9ec
4ian/GD,27-Jun-17,f778f4302bc9d08c479060faeb4c386ffd41ca5c,18-Dec-12,f8258feacbca771656a69a34b5831421a13e8f8b
ALPSCore/ALPSCore,27-Jun-17,7969b6a9174f8ea6f07c4b35966d4769607112a8,28-Dec-12,bc6c9dc3dfda1f561d6b74b18654b64ff44a48ca
Andersbakken/rtags,28-Jun-17,005e5569366b519850f0ae5b78f618f4d67d8785,31-Dec-12,7d79b0e923ed1ad03161882337f43d3ad3497179
BearishSun/BansheeEngine,3-Jul-17,688a5709b1587ddaa67279e8e8f080cbef66480a,31-Dec-12,d64b1452e12777b80564c851b718d47bc3136f18
BenHanson/lexertl,2-Apr-17,3215fe45c1c49298abd59f9f215ddd05792f50b0,27-Dec-12,5bbc3e8519516d5c0db6c9c307ec5b5e7ddadd32
Bertram25/ValyriaTear,27-Jun-17,97fceb85691e90dd8788221bdb8b9132c24c6148,31-Dec-12,615d6f35b7f6b91263994da662a7c0645c362500
ChaiScript/ChaiScript,22-Feb-17,064a385a645c89c8b958b754f0d5e8399b9b6df9,30-Nov-12,e4f4b64cc8a8c0f8a78365b92bce2f3fea9a918a
DDVTECH/mistserver,16-May-17,c12e7897cf11f0feebb253d1c7971f5f98f2f939,27-Dec-12,d925bdfbe3355d8618076d65287b0dde085bae50
DGtal-team/DGtal,3-Jul-17,06bf04a64ace2cf4fceb8aae2a66ca27897848a2,30-Dec-12,ae1b730c5a40a8a6bf71eb8aa9f9c38ecaee3596
DLR-SC/tigl,3-Jul-17,4c477f23b3205e57f802add9b004d6d5ccee9f64,21-Dec-12,4352d67922928e4fa92d633aa456e95308b96cda
Deltafire/Milkytracker,7-May-17,56bf091a0e8c5242e160d37f2974f3e1e2525821,26-Nov-12,2ad1a8a32198c4be857bb5cc37b26e1ed6fe5387
DependableSystemsLab/LLFI,24-Jun-17,c982194e614840b4ec9e3af978447acfcdc81f31,21-Dec-12,9082544abcc32028dadf23c61080e7d73a09edd8
Eyescale/Collage,24-May-17,f320324f091b81c3ec5a26ed16ffc5c0fb49da29,27-Dec-12,ef1fb43f6dbca3e9bc3b4539ac14c85bcabd32d9
Eyescale/GLStats,24-May-17,f9bf19edf770b83e5a04062ab4dc240738217d80,27-Dec-12,ef1fb43f6dbca3e9bc3b4539ac14c85bcabd32d9
FortySevenEffects/arduino_midi_library,7-Jan-17,3a31a366e4f79dc858596b5378ac53f40690f1d9,7-Nov-12,2f828fe2bc580970265bdb0f10ebcc713cab5a33
FreeCAD/FreeCAD_sf_master,18-Mar-17,e3d55841065cc22b32eda7ff53a648698c748562,24-Aug-12,50652895d42bb8034995860b6f6711f388fb8d06
GNOME/glom,17-Jun-17,97cbbc3d35413427eaa194abb75131a92fa11943,25-Dec-12,2746afc13b8ec4ea01d8de2015f64b55482a4976
GadgetFactory/Papilio-Loader,6-Jan-17,b135e630db9b5b9668f352eedeb9d3e5e4ffd93b,13-Dec-12,5e7344e7b09b75c2e2a3527fb1af374200e5d678
GarageGames/Torque3D,7-Feb-17,8684cd1a65084e52f76131d74520c2fa9e1904a1,15-Dec-12,31036c40312b259e1fa0d939883ea90f0a55c268
GehnShard/Plasma,30-May-17,3fabf49045cd56e7b323a74b2e83d3c885d508ee,19-Dec-12,2caade5fff119af0772745fd36b731561b28729f
GollyGang/ready,14-Jun-17,f8bb1b0bc6a0b892e6909412de126a2f1d8f5e3a,16-Dec-12,5d8acc7fe479b51201cc98c0aa71ea956f2981e5
H-uru/Plasma,30-May-17,76f136261c9bc88b3cb6e9e70e63f54e64bcd416,19-Dec-12,2caade5fff119af0772745fd36b731561b28729f
Icinga/icinga2,16-Mar-17,94aeaa2e5cd01560a88639212bdea4679a456474,4-Dec-12,ea115a2c8cdec15ec121008091681b3b2b8b763a
martin-tornqvist/ia,8-Aug-17,8d58d5b4c56d144b36f76b974a36056049145027,22-Dec-12,0dfdfb4c45c70f2d626ba1ad37a687e4c67a8643
InsightSoftwareConsortium/ITK,3-Jul-17,07cb23f9866768b5f4ee48ebec8766b6e19efc69,29-Dec-12,5e1c4d81366dfff5dc1f66e40bd121d02b0488ee
Itseez/opencv,15-Mar-17,c1007c7276e889f5f284702515a60b6799df9cd7,24-Dec-12,19236b6e4316be27fe6da8f534d36c4c3ed8c85c
KDAB/GammaRay,15-Mar-17,3d5cdd5353645676a23aafd9b8b1917694da3d87,9-Dec-12,ba0d6299c3957c6d1d16b5b7e163f8ebf2620e1d
Kazade/kazmath,23-Feb-17,3b2de632783d5f566217094034a2a3366bf6efe6,9-Dec-12,541e8b7ba4c0d760b9b03c90bc97b375165f1a5f
KhronosGroup/OpenCOLLADA,8-Mar-17,5c548d2fc16ef35aa275eb207c111e27332f8b56,3-Oct-12,b2a151a1dd0f689a1915618a99a6be2a604f0095
