repository, v1, Deadlock1, Failure to Begin a New Session upon Authentication1, File Access Race Condition: TOCTOU1, Insecure Temporary File1, Signal Handling Race Conditions1, General1, v2, Deadlock1, Failure to Begin a New Session upon Authentication2, File Access Race Condition: TOCTOU2, Insecure Temporary File2, Signal Handling Race Conditions2, General2
Andersbakken/rtags, 005e5569366b519850f0ae5b78f618f4d67d8785,0,0,6,2,9,0, b5bb19291a8e3331d2f5ee0c1a77fc5922e21607,0,0,21,8,12,0
Bertram25/ValyriaTear, 97fceb85691e90dd8788221bdb8b9132c24c6148,0,0,26,0,0,0, 99cc26a8c76d05d9bdc82fe9213e5fd39050d218,0,0,1,0,0,0
ChaiScript/ChaiScript, 064a385a645c89c8b958b754f0d5e8399b9b6df9,0,0,0,0,0,0, e4f4b64cc8a8c0f8a78365b92bce2f3fea9a918a,0,0,1,0,0,0
DGtal-team/DGtal, 06bf04a64ace2cf4fceb8aae2a66ca27897848a2,0,0,20,0,0,0, 1f1b116dc03f2fd68a7cc665d7c0b6fdb1ad37ef,0,0,20,0,0,0
FreeCAD/FreeCAD_sf_master, e3d55841065cc22b32eda7ff53a648698c748562,0,0,62,2,3,0, 0ec1c40d255bee91c0a745457a4528b612f1fe10,0,0,14,2,2,0
GollyGang/ready, f8bb1b0bc6a0b892e6909412de126a2f1d8f5e3a,0,0,0,0,0,0, 6800b29d331505a8c94897a1565760dcc50c62ca,0,0,0,0,0,0
H-uru/Plasma, 76f136261c9bc88b3cb6e9e70e63f54e64bcd416,0,0,127,0,0,0, d382da0fe7823fe8c61949365c757a5bddd8182b,0,0,127,1,0,0
InsightSoftwareConsortium/ITK, 07cb23f9866768b5f4ee48ebec8766b6e19efc69,0,0,27,35,2,0, 35e3315e0248df1fa93ba4b0c90f4a49162d8abe,0,0,26,25,2,0
Itseez/opencv, c1007c7276e889f5f284702515a60b6799df9cd7,0,0,14,7,2,7, fd31234122a73e5585bccd9ca83cb2401967113f,0,0,13,7,2,7
KDAB/GammaRay, 3d5cdd5353645676a23aafd9b8b1917694da3d87,0,0,5,0,7,0, c9e4c20d9615e817eb1f3faaa6971a0fdc665c4e,0,0,1,0,2,0
