Repository,Version1,Java1, Python1, Ruby1, JavaScript1, CS1, PHP1, XML1, Go1, HTML1, JSON1, perl1,  Scala1, Apex1, R1, Swift1, SAS1, Crystal1, Basic1, Assemlbly1, TypeScript1, CSS1, PLSQL1, Shell1,Version1,Java2, Python2, Ruby2, JavaScript2, CS2, PHP2, XML2, Go2, HTML2, JSON2, perl2,  Scala2, Apex2, R2, Swift2, SAS2, Crystal2, Basic2, Assemlbly2, TypeScript2, CSS2, PLSQL2, Shell2
Andersbakken/rtags, 005e5569366b519850f0ae5b78f618f4d67d8785,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2, b5bb19291a8e3331d2f5ee0c1a77fc5922e21607,0,1,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,14
Bertram25/ValyriaTear, 97fceb85691e90dd8788221bdb8b9132c24c6148,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0, 99cc26a8c76d05d9bdc82fe9213e5fd39050d218,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
ChaiScript/ChaiScript, 064a385a645c89c8b958b754f0d5e8399b9b6df9,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2, e4f4b64cc8a8c0f8a78365b92bce2f3fea9a918a,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
DGtal-team/DGtal, 06bf04a64ace2cf4fceb8aae2a66ca27897848a2,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0, 1f1b116dc03f2fd68a7cc665d7c0b6fdb1ad37ef,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,10
FreeCAD/FreeCAD_sf_master, e3d55841065cc22b32eda7ff53a648698c748562,0,454,0,0,0,0,100,0,2,2,0,0,0,0,0,0,0,0,0,661,2,0,9, 0ec1c40d255bee91c0a745457a4528b612f1fe10,0,626,0,2,0,0,154,0,4,4,0,0,0,0,0,0,0,0,0,810,4,0,12
GollyGang/ready, f8bb1b0bc6a0b892e6909412de126a2f1d8f5e3a,0,1,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 6800b29d331505a8c94897a1565760dcc50c62ca,0,1,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H-uru/Plasma, 76f136261c9bc88b3cb6e9e70e63f54e64bcd416,0,5,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, d382da0fe7823fe8c61949365c757a5bddd8182b,0,23,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
InsightSoftwareConsortium/ITK, 07cb23f9866768b5f4ee48ebec8766b6e19efc69,34,172,1,0,1,0,77,0,6,415,9,0,0,0,0,0,0,0,0,0,3,0,34, 35e3315e0248df1fa93ba4b0c90f4a49162d8abe,16,149,1,0,0,0,98,0,6,415,9,0,0,0,0,0,0,0,0,0,3,0,45
Itseez/opencv, c1007c7276e889f5f284702515a60b6799df9cd7,149,104,0,1,0,0,89,0,1,80,0,0,0,0,0,0,0,0,0,0,0,0,10, fd31234122a73e5585bccd9ca83cb2401967113f,128,145,0,4,15,0,133,0,5,80,2,4,0,0,0,0,0,0,0,0,3,0,10
KDAB/GammaRay, 3d5cdd5353645676a23aafd9b8b1917694da3d87,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, c9e4c20d9615e817eb1f3faaa6971a0fdc665c4e,0,0,0,0,0,0,10,0,4,28,0,0,0,0,0,0,0,0,0,3,1,0,2
Kazade/kazmath, 3b2de632783d5f566217094034a2a3366bf6efe6,0,0,0,0,0,0,13,0,95,0,0,0,0,0,0,0,0,0,0,0,2,0,0, e25d39df2f289a3d06fc3e2318cf61bdedf23b71,2,0,0,0,0,0,13,0,95,0,0,0,0,0,0,0,0,0,0,0,2,0,0
KhronosGroup/OpenCOLLADA, 5c548d2fc16ef35aa275eb207c111e27332f8b56,52,66,1,1,0,5,97,0,74,0,2,0,0,0,0,0,0,0,4,0,6,0,10, 428019272e7af8608b9c3e05f9ae1c30187b5325,52,66,1,1,0,5,97,0,74,0,2,0,0,0,0,0,0,0,4,0,6,0,11
KiCAD/kicad-source-mirror, 2300697f0297ac64dd2ec3b38882bc670fbaef01,0,19,0,0,0,0,19,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,7, 474128a4452a9868e3e906fde219d665a795a530,0,51,0,0,0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Kitware/CMake, 14f0378e103fd24915712cb94c98265ad18c8736,8,8,1,6,0,0,153,0,15,3,3,0,0,0,0,0,0,0,0,0,1,0,6, 81cdab5beaffc7665550710b84006a0a7ce76cfa,17,15,1,8,4,0,159,0,17,12,4,0,0,0,2,0,0,0,5,0,2,0,20
KitwareMedical/TubeTK, 4950ed986022d5248561dacdee7c2b043c9e80ac,0,3,0,0,0,0,28,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2, 357f8c8a053dfc5c1b06607d53d6b43d5d8b35d6,0,46,0,0,0,0,73,0,0,19,0,0,0,0,0,0,0,0,0,0,1,0,34
LaurentGomila/SFML, 756cb09bc3caf7b543c495f9c40d3a48bdf31428,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, 2de690f02db4114ff41142c152ed94a944aee265,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9
LiberatorUSA/GUCEF, 408b884adfb4ff62a5b7ec30798d704b91836d25,3,38,0,0,215,0,228,0,81,0,3,0,0,0,0,1,0,0,6,0,4,0,47, 6f8c0d256bb7bf729c9ab3c0806d3ffca1831287,6,91,0,2,220,0,341,0,683,0,34,0,0,0,0,3,0,2,10,0,14,0,220
ManaPlus/ManaPlus, 4541175c81e5de39a3118729b7f5997d251b3d35,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11, c01aec243610016c2cd5e4211fee484627bc69ea,0,0,0,0,0,0,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117
MyGUI/mygui, d079917c3b8f448c3c4d06eb593272799a93d124,0,5,0,0,109,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 027f13b57a03ec258b50ba066e4b73deebd25f0d,0,6,0,0,146,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
