Repo,date1,commit1,date2,commit2,arg,before
Andersbakken/rtags,28-Jun-17,005e5569366b519850f0ae5b78f618f4d67d8785,30-Jun-12,b5bb19291a8e3331d2f5ee0c1a77fc5922e21607,,
Bertram25/ValyriaTear,27-Jun-17,97fceb85691e90dd8788221bdb8b9132c24c6148,30-Jun-12,99cc26a8c76d05d9bdc82fe9213e5fd39050d218,,
ChaiScript/ChaiScript,22-Feb-17,064a385a645c89c8b958b754f0d5e8399b9b6df9,30-Nov-12,e4f4b64cc8a8c0f8a78365b92bce2f3fea9a918a,,
DGtal-team/DGtal,3-Jul-17,06bf04a64ace2cf4fceb8aae2a66ca27897848a2,28-Jul-12,1f1b116dc03f2fd68a7cc665d7c0b6fdb1ad37ef,,
FreeCAD/FreeCAD_sf_master,18-Mar-17,e3d55841065cc22b32eda7ff53a648698c748562,30-Mar-12,0ec1c40d255bee91c0a745457a4528b612f1fe10,,
GollyGang/ready,14-Jun-17,f8bb1b0bc6a0b892e6909412de126a2f1d8f5e3a,27-Jun-12,6800b29d331505a8c94897a1565760dcc50c62ca,"""=-DTORQUE_APP_NAME=LinuxTest -DCMAKE_BUILD_TYPE=Release""",
H-uru/Plasma,30-May-17,76f136261c9bc88b3cb6e9e70e63f54e64bcd416,21-May-12,d382da0fe7823fe8c61949365c757a5bddd8182b,,
InsightSoftwareConsortium/ITK,3-Jul-17,07cb23f9866768b5f4ee48ebec8766b6e19efc69,12-Jul-12,35e3315e0248df1fa93ba4b0c90f4a49162d8abe,,
Itseez/opencv,15-Mar-17,c1007c7276e889f5f284702515a60b6799df9cd7,31-Mar-12,fd31234122a73e5585bccd9ca83cb2401967113f,,
KDAB/GammaRay,15-Mar-17,3d5cdd5353645676a23aafd9b8b1917694da3d87,14-Mar-12,c9e4c20d9615e817eb1f3faaa6971a0fdc665c4e,,
Kazade/kazmath,23-Feb-17,3b2de632783d5f566217094034a2a3366bf6efe6,26-Feb-12,e25d39df2f289a3d06fc3e2318cf61bdedf23b71,,
KhronosGroup/OpenCOLLADA,8-Mar-17,5c548d2fc16ef35aa275eb207c111e27332f8b56,14-Mar-12,428019272e7af8608b9c3e05f9ae1c30187b5325,,
KiCAD/kicad-source-mirror,3-Jul-17,2300697f0297ac64dd2ec3b38882bc670fbaef01,31-Jul-12,474128a4452a9868e3e906fde219d665a795a530,,
Kitware/CMake,18-Mar-17,14f0378e103fd24915712cb94c98265ad18c8736,1-Mar-12,81cdab5beaffc7665550710b84006a0a7ce76cfa,,
KitwareMedical/TubeTK,19-Jun-17,4950ed986022d5248561dacdee7c2b043c9e80ac,28-Jun-12,357f8c8a053dfc5c1b06607d53d6b43d5d8b35d6,,
LaurentGomila/SFML,20-Feb-17,756cb09bc3caf7b543c495f9c40d3a48bdf31428,26-Feb-12,2de690f02db4114ff41142c152ed94a944aee265,,
LiberatorUSA/GUCEF,11-Jun-17,408b884adfb4ff62a5b7ec30798d704b91836d25,30-Jun-12,6f8c0d256bb7bf729c9ab3c0806d3ffca1831287,,
ManaPlus/ManaPlus,28-Jun-17,4541175c81e5de39a3118729b7f5997d251b3d35,30-Jun-12,c01aec243610016c2cd5e4211fee484627bc69ea,,
MyGUI/mygui,16-Mar-17,d079917c3b8f448c3c4d06eb593272799a93d124,16-Mar-12,027f13b57a03ec258b50ba066e4b73deebd25f0d,,
RainerKuemmerle/g2o,11-Jun-17,deafc01ee8315b9405351fb145238c5d62f82dc7,29-Jun-12,8dec86fc74050a2d77c3fad0a010aa5c3a6a1010,,
SINTEF-Geometry/GoTools,2-Nov-17,fe9c60cda04c18494eefbd03635a893ddf85ab07,20-Dec-12,3fbcf74fa625ac71fa85860ecd6909d8f1c2831b,,
SimTk/openmm,28-Jun-17,feb79f770145bb12c99bbe058e29d077a381465d,28-Jun-12,c77af6e9bc8e1419f3bba7bd9ef4b213a1d22d44,,
Slicer/SlicerExecutionModel,15-Jun-17,1d3e9a226bd594f23733993c16c337ba60077bc5,21-Jun-12,b6125d3f5f29f7395fee060a0a0bb04409818ad4,,
SupSuper/OpenXcom,15-Mar-17,bcb0a0cd60f83576484977824c6522f4e3e8e86b,30-Mar-12,3d8a9b0ed655347f2e239f1773d8fcd6a62dddf5,,
SuperTux/supertux,3-Mar-17,0fb271c8711c141eb5b30314668c90d7d75fb7f1,30-Mar-12,3918a884872e4e92805cf1476bd59db5ebf41431,,
TUM-I5/ASAGI,11-Apr-17,f633f96931ae00805f599078d5a1a6a830881554,22-Apr-12,a0cd4e117c2b95035644cf6a3365d0cdfef5f784,,
TigerVNC/tigervnc,17-Mar-17,53f520567202928f908b5f94f6d143e7067a8bdd,27-Mar-12,0878eca6aa47106a24fee53ab3791c677fdfefbe,,
