repository, core bug, submoudle bug, total 
Andersbakken/rtags,1133,266,1399
Bertram25/ValyriaTear,275,2,277
ChaiScript/ChaiScript,21,0,21
DGtal-team/DGtal,175,2,177
FreeCAD/FreeCAD_sf_master,2088,25,2113
GollyGang/ready,371,0,371
H-uru/Plasma,4939,2,4941
InsightSoftwareConsortium/ITK,5866,16,5882
Itseez/opencv,4438,5186,9624
KDAB/GammaRay,80,518,598
Kazade/kazmath,29,532,561
KhronosGroup/OpenCOLLADA,2646,2304,4950
KiCAD/kicad-source-mirror,951,25,976
Kitware/CMake,3968,31642,35610
KitwareMedical/TubeTK,123,0,123
LaurentGomila/SFML,219,43,262
LiberatorUSA/GUCEF,5711,134,5845
ManaPlus/ManaPlus,649,1,650
MyGUI/mygui,421,1,422
RainerKuemmerle/g2o,335,4,339
SINTEF-Geometry/GoTools,1218,13367,14585
SimTk/openmm,2390,18,2408
Slicer/SlicerExecutionModel,50,0,50
SupSuper/OpenXcom,245,0,245
SuperTux/supertux,608,613,1221
TUM-I5/ASAGI,53,4,57
TigerVNC/tigervnc,2700,1639,4339
Vatsinator/Vatsinator,66,26,92
VcDevel/Vc,72,0,72
Zeex/samp-plugin-jit,207,2,209
Zeex/samp-plugin-profiler,30,279,309
alecthomas/entityx,5,0,5
alembic/alembic,72,4,76
arx/ArxLibertatis,2297,16,2313
biometrics/openbr,312,59,371
brezerk/q4wine,75,0,75
brndnmtthws/conky,1862,0,1862
bro/bro,945,1716,2661
bro/pysubnettree,81,0,81
casadi/casadi,428,5108,5536
chenshuo/muduo,258,1,259
christopho/solarus,663,327,990
cinemast/libjson-rpc-cpp,167,0,167
clintbellanger/flare-engine,309,0,309
cmangos/mangos-classic,4133,0,4133
cmangos/mangos-wotlk,5071,0,5071
colobot/colobot,529,0,529
commontk/CTK,91,49,140
commontk/DCMTK,4768,9478,14246
cppformat/cppformat,13,0,13
ddemidov/vexcl,31,0,31
deskvox/deskvox,1387,0,1387
dorkster/flare-engine-next,363,0,363
edubart/otclient,260,0,260
elemental/Elemental,143,11570,11713
esa/pagmo,393,0,393
facebook/mysql-5.6,14208,20,14228
freundlich/fcppt,186,18,204
freundlich/mizuiro,224,24,248
gnuradio/gnuradio,1257,60,1317
hluk/CopyQ,29,26,55
hpcc-systems/HPCC-Platform,11179,4174,15353
imageworks/OpenColorIO,287,77,364
jbeder/yaml-cpp,23,0,23
juj/MathGeoLib,178,147,325
koreader/crengine,3591,6270,9861
lalinsky/chromaprint,18,37,55
ledger/ledger,351,5,356
libpinyin/libpinyin,195,0,195
libspatialindex/libspatialindex,564,1885,2449
lightspark/lightspark,498,2,500
lotem/librime,0,74,74
lxde/pcmanfm-qt,0,0,0
mangosthree/server,0,6320,6320
mavam/libbf,3,0,3
mempko/firestr,0,265,265
mickem/nscp,318,3726,4044
mlpack/mlpack,162,0,162
mosra/corrade,52,3,55
msoos/cryptominisat,119,50,169
musescore/MuseScore,2147,0,2147
nickbruun/hayai,2,0,2
openclonk/openclonk,2112,150,2262
opengm/opengm,18,57,75
openscenegraph/osg,7037,4567,11604
orocos-toolchain/typelib,48,0,48
percona/percona-server,8692,51,8743
quassel/quassel,130,40,170
rime/librime,0,93,93
root-mirror/root,18309,14,18323
sakra/cotire,0,1,1
samstyle/Xpeccy,536,12547,13083
saschazelzer/CppMicroServices,20,2032,2052
scross99/locic,47,52,99
simongog/sdsl-lite,167,617,784
spring/pr-downloader,951,2742,3693
stevenlovegrove/Pangolin,121,0,121
strasdat/Sophus,1,0,1
stuntrally/stuntrally,531,74,605
supercollider/sc3-plugins,1331,741,2072
supercollider/supercollider,6249,472,6721
supertuxkart/stk-code,979,0,979
symengine/symengine,9,1666,1675
syndicodefront/infekt,212,173,385
taglib/taglib,405,0,405
texus/TGUI,57,0,57
thesamet/rpcz,28,17,45
thewtex/tmux-mem-cpu-load,2,0,2
tpaviot/oce,5209,2,5211
tumi8/vermont,797,1718,2515
ukoethe/vigra,143,1173,1316
user-none/Sigil,2088,13532,15620
vcmi/vcmi,892,0,892
vinipsmaker/tufao,26,8,34
wesnoth/wesnoth,1072,27,1099
xrootd/xrootd,6855,0,6855
Total,167398,150728,318126
