Project, commit1, commit2, RATS_Runtime_1, RATS_Runtime_2, Flawfinder_Runtime_1, Flawfinder_Runtime_2, Cppcheck_Runtime_1, Cppcheck_Runtime_2, Clang_Runtime_1, Clang_Runtime_2, PVS_studio_Runtime_1, PVS_studio_Runtime_2,  Parasoft_run_time1, Parasoft_run_time2
Andersbakken/rtags, 005e5569366b519850f0ae5b78f618f4d67d8785 , b5bb19291a8e3331d2f5ee0c1a77fc5922e21607 ,816,1209,1933,2574,735089,635765,4918,807,6143,2748,33698,33009
Bertram25/ValyriaTear, 97fceb85691e90dd8788221bdb8b9132c24c6148 , 99cc26a8c76d05d9bdc82fe9213e5fd39050d218 ,2669,1410,6853,3377,11750,15289,34763,41636,14390,950540,3,8
ChaiScript/ChaiScript, 064a385a645c89c8b958b754f0d5e8399b9b6df9 , e4f4b64cc8a8c0f8a78365b92bce2f3fea9a918a ,505,423,1288,792,28063,323,26071,49079,41611,66149,339501,70402
DGtal-team/DGtal, 06bf04a64ace2cf4fceb8aae2a66ca27897848a2 , 1f1b116dc03f2fd68a7cc665d7c0b6fdb1ad37ef ,2341,1105,6232,3222,46248,6341,45372,42620,940754,935639,1615153,324970
FreeCAD/FreeCAD_sf_master, e3d55841065cc22b32eda7ff53a648698c748562 , 0ec1c40d255bee91c0a745457a4528b612f1fe10 ,13664,14310,25462,23091,773610,609357,70228,52282,72293,49584,96949,70148
GollyGang/ready, f8bb1b0bc6a0b892e6909412de126a2f1d8f5e3a , 6800b29d331505a8c94897a1565760dcc50c62ca ,423,604,1000,1738,8968,14900,30428,26187,156812,37006,116580,71723
H-uru/Plasma, 76f136261c9bc88b3cb6e9e70e63f54e64bcd416 , d382da0fe7823fe8c61949365c757a5bddd8182b ,8310,7322,16828,18820,173709,178333,14988,13747,20340,20859,42883,40399
InsightSoftwareConsortium/ITK, 07cb23f9866768b5f4ee48ebec8766b6e19efc69 , 35e3315e0248df1fa93ba4b0c90f4a49162d8abe ,46074,62522,78835,98882,507046,1103317,2220894,1479671,149942,140475,853954,594733
Itseez/opencv, c1007c7276e889f5f284702515a60b6799df9cd7 , fd31234122a73e5585bccd9ca83cb2401967113f ,17182,11858,34307,20935,542738,250908,348995,90001,0,0,406849,171706
KDAB/GammaRay, 3d5cdd5353645676a23aafd9b8b1917694da3d87 , c9e4c20d9615e817eb1f3faaa6971a0fdc665c4e ,3960,1134,7248,2261,18232,4743,79147,41504,940765,157954,1530370,373164
Kazade/kazmath, 3b2de632783d5f566217094034a2a3366bf6efe6 , e25d39df2f289a3d06fc3e2318cf61bdedf23b71 ,723,864,1724,1275,108761,106431,31533,24745,13778,13095,98819,67413
KhronosGroup/OpenCOLLADA, 5c548d2fc16ef35aa275eb207c111e27332f8b56 , 428019272e7af8608b9c3e05f9ae1c30187b5325 ,8540,8451,29363,29765,736232,712303,51721,48519,2896848,2420245,1524626,800914
KiCAD/kicad-source-mirror, 2300697f0297ac64dd2ec3b38882bc670fbaef01 , 474128a4452a9868e3e906fde219d665a795a530 ,14373,14517,54969,31753,448544,40248,73173,25472,6665349,15200,811417,631341
Kitware/CMake, 14f0378e103fd24915712cb94c98265ad18c8736 , 81cdab5beaffc7665550710b84006a0a7ce76cfa ,32723,11780,43673,17787,963874,488840,780273,657771,931192,532395,3840870,2271862
KitwareMedical/TubeTK, 4950ed986022d5248561dacdee7c2b043c9e80ac , 357f8c8a053dfc5c1b06607d53d6b43d5d8b35d6 ,5405,2370,7020,3285,11038,27836,42578,31221,2635,2602,54195,42553
LaurentGomila/SFML, 756cb09bc3caf7b543c495f9c40d3a48bdf31428 , 2de690f02db4114ff41142c152ed94a944aee265 ,2535,1524,4123,4265,4636,2273,34800,35615,70573,65285,203531,162156
LiberatorUSA/GUCEF, 408b884adfb4ff62a5b7ec30798d704b91836d25 , 6f8c0d256bb7bf729c9ab3c0806d3ffca1831287 ,67872,29091,158650,46139,806753,238440,48346,43789,2694548,1548828,115020,92962
ManaPlus/ManaPlus, 4541175c81e5de39a3118729b7f5997d251b3d35 , c01aec243610016c2cd5e4211fee484627bc69ea ,14525,10050,18807,13961,66893,110816,45390,42291,784638,490774,2504077,1072644
MyGUI/mygui, d079917c3b8f448c3c4d06eb593272799a93d124 , 027f13b57a03ec258b50ba066e4b73deebd25f0d ,7619,6739,10691,9286,141064,23055,77073,41802,924597,752076,2424795,1082465
