repository, core bug, submoudle bug, total 
ALPSCore/ALPSCore,  ,        3,      208
Andersbakken/rtags,  ,      266,     1399
BenHanson/lexertl,  ,        0,       28
Bertram25/ValyriaTear,  ,        2,      277
ChaiScript/ChaiScript,  ,        0,       21
DGtal-team/DGtal,  ,        2,      177
Deltafire/Milkytracker,  ,      845,     3325
Eyescale/Collage,  ,       51,      123
FreeCAD/FreeCAD_sf_master,  ,       25,     2113
GarageGames/Torque3D,  ,        8,     7813
GollyGang/ready,  ,        0,      371
H-uru/Plasma,  ,        2,     4941
InsightSoftwareConsortium/ITK,  ,       16,     5882
Itseez/opencv,  ,     5186,     9624
KDAB/GammaRay,  ,      518,      598
Kazade/kazmath,  ,      532,      561
KhronosGroup/OpenCOLLADA,  ,     2304,     4950
KiCAD/kicad-source-mirror,  ,       25,      976
Kitware/CMake,  ,    31642,    35610
Kitware/VTK,  ,      117,    16170
KitwareMedical/TubeTK,  ,        0,      123
LaurentGomila/SFML,  ,       43,      262
LiberatorUSA/GUCEF,  ,      134,     5845
ManaPlus/ManaPlus,  ,        1,      650
Mudlet/Mudlet,  ,       72,      324
MyGUI/mygui,  ,        1,      422
OPM/opm-simulators,  ,        6,      106
OPM/opm-material,  ,        7,       24
OpenImageIO/oiio,  ,       93,     1696
PCSX2/pcsx2,  ,        0,     6134
PixarAnimationStudios/OpenSubdiv,  ,        5,      604
Project-OSRM/osrm-backend,  ,        1,      257
RainerKuemmerle/g2o,  ,        4,      339
Reactive-Extensions/RxCpp,  ,       68,      129
ReadyTalk/avian,  ,      235,     1283
Ryochan7/antimicro,  ,       13,      207
SINTEF-Geometry/GoTools,  ,    13367,    14585
SOCI/soci,  ,        0,      363
SafirSDK/safir_sdk_core,  ,       66,      387
SimTk/openmm,  ,       18,     2408
Slicer/SlicerExecutionModel,  ,        0,       50
SupSuper/OpenXcom,  ,        0,      245
SuperTux/supertux,  ,      613,     1221
TUM-I5/ASAGI,  ,        4,       57
TigerVNC/tigervnc,  ,     1639,     4339
Vatsinator/Vatsinator,  ,       26,       92
VcDevel/Vc,  ,        0,       72
WCSim/WCSim,  ,        0,       97
Z3Prover/z3,  ,       10,      304
Zeex/samp-plugin-jit,  ,        2,      209
Zeex/samp-plugin-profiler,  ,      279,      309
actor-framework/actor-framework,  ,        0,       93
akrzemi1/Optional,  ,        0,        4
alecthomas/entityx,  ,        0,        5
alembic/alembic,  ,        4,       76
apache/thrift,  ,       15,      715
arangodb/arangodb,  ,        1,     3154
aras-p/glsl-optimizer,  ,      247,      561
arx/ArxLibertatis,  ,       16,     2313
biometrics/openbr,  ,       59,      371
bolero-MURAKAMI/Sprout,  ,        0,     1072
brezerk/q4wine,  ,        0,       75
brndnmtthws/conky,  ,        0,     1862
bro/bro,  ,     1716,     2661
bro/pysubnettree,  ,        0,       81
c42f/tinyformat,  ,        1,        5
casadi/casadi,  ,     5108,     5536
cern-it-sdc-id/davix,  ,     2495,     3009
chenshuo/muduo,  ,        1,      259
christopho/solarus,  ,      327,      990
cinemast/libjson-rpc-cpp,  ,        0,      167
clintbellanger/flare-engine,  ,        0,      309
cmangos/mangos-classic,  ,        0,     4133
cmangos/mangos-wotlk,  ,        0,     5071
codelibre-net/schroot,  ,        1,      832
