repository,v1,total_bug1,rats1,flawfinder1,cppcheck1,clang1,pvs_studio1,parasoft1,v2,total_bug2,rats2,flawfinder2,cppcheck2,clang2,pvs_studio2,parasoft2
ALPSCore/ALPSCore,7969b6a9174f8ea6f07c4b35966d4769607112a8,      84,      15,      53,       0,       0,      16,       0,d9b0adf670321d3a2dc232eb75ef766d5fcf030c,     208,      38,     168,       2,       0,       0,       0
Andersbakken/rtags,005e5569366b519850f0ae5b78f618f4d67d8785,     453,      94,     344,      15,       0,       0,       0,b5bb19291a8e3331d2f5ee0c1a77fc5922e21607,    1398,     394,    1002,       2,       0,       0,       0
BenHanson/lexertl,3215fe45c1c49298abd59f9f215ddd05792f50b0,      29,       0,      25,       0,       0,       4,       0,3e4d2381c3acf712a6130f96ae4fc29217548c97,      28,       0,      25,       0,       0,       3,       0
Bertram25/ValyriaTear,97fceb85691e90dd8788221bdb8b9132c24c6148,     204,      37,     167,       0,       0,       0,       0,99cc26a8c76d05d9bdc82fe9213e5fd39050d218,     253,      36,     135,       1,       0,      81,       0
ChaiScript/ChaiScript,064a385a645c89c8b958b754f0d5e8399b9b6df9,      32,       4,      24,       3,       0,       1,       0,e4f4b64cc8a8c0f8a78365b92bce2f3fea9a918a,      21,       3,      15,       0,       0,       3,       0
DGtal-team/DGtal,06bf04a64ace2cf4fceb8aae2a66ca27897848a2,     249,      13,     110,       5,       0,     121,       0,1f1b116dc03f2fd68a7cc665d7c0b6fdb1ad37ef,     177,      11,      66,       0,       0,      99,       0
Deltafire/Milkytracker,56bf091a0e8c5242e160d37f2974f3e1e2525821,    3325,     965,    1891,      13,       0,     410,      46,dda125b03eabc7371965030edd62c3201fe79f2b,    3325,     965,    1891,      13,       0,     410,      46
Eyescale/Collage,f320324f091b81c3ec5a26ed16ffc5c0fb49da29,     117,      37,      79,       1,       0,       0,       0,919ca72b1d74171c1759d3c46b427f0f7c6732d9,     119,      40,      76,       1,       0,       2,       0
FreeCAD/FreeCAD_sf_master,e3d55841065cc22b32eda7ff53a648698c748562,    2623,     609,    1863,     151,       0,       0,       0,0ec1c40d255bee91c0a745457a4528b612f1fe10,    2108,     478,    1507,     123,       0,       0,       0
GarageGames/Torque3D,8684cd1a65084e52f76131d74520c2fa9e1904a1,    8147,    3145,    4909,      93,       0,       0,       0,cd686a23b3b39c18552c933f76bc6587fc5ce2f3,    7786,    3030,    4632,     124,       0,       0,       0
GehnShard/Plasma,3fabf49045cd56e7b323a74b2e83d3c885d508ee,    3097,     947,    2113,      37,       0,       0,       0,d382da0fe7823fe8c61949365c757a5bddd8182b,    4870,    1555,    3276,      39,       0,       0,       0
GollyGang/ready,f8bb1b0bc6a0b892e6909412de126a2f1d8f5e3a,      96,       9,      61,       1,       0,      25,       0,6800b29d331505a8c94897a1565760dcc50c62ca,     371,      91,     237,      41,       0,       2,       0
H-uru/Plasma,76f136261c9bc88b3cb6e9e70e63f54e64bcd416,    3099,     947,    2115,      37,       0,       0,       0,d382da0fe7823fe8c61949365c757a5bddd8182b,    4870,    1555,    3276,      39,       0,       0,       0
InsightSoftwareConsortium/ITK,07cb23f9866768b5f4ee48ebec8766b6e19efc69,    7923,    2418,    5363,     121,      21,       0,       0,35e3315e0248df1fa93ba4b0c90f4a49162d8abe,    5757,    1675,    3992,      70,      20,       0,       0
Itseez/opencv,c1007c7276e889f5f284702515a60b6799df9cd7,    8811,     799,    2567,      49,       0,     227,    5169,fd31234122a73e5585bccd9ca83cb2401967113f,    9543,     652,    1900,      47,       0,    1775,    5169
KDAB/GammaRay,3d5cdd5353645676a23aafd9b8b1917694da3d87,     740,      39,     118,       1,       0,      65,     517,c9e4c20d9615e817eb1f3faaa6971a0fdc665c4e,     598,      28,      48,       0,       0,       5,     517
Kazade/kazmath,3b2de632783d5f566217094034a2a3366bf6efe6,     560,       0,      10,       0,       0,      18,     532,e25d39df2f289a3d06fc3e2318cf61bdedf23b71,     561,       0,      10,       0,       0,      19,     532
KhronosGroup/OpenCOLLADA,5c548d2fc16ef35aa275eb207c111e27332f8b56,    5054,     380,    2171,      11,       0,     189,    2303,428019272e7af8608b9c3e05f9ae1c30187b5325,    4949,     342,    2104,      15,       0,     185,    2303
KiCAD/kicad-source-mirror,2300697f0297ac64dd2ec3b38882bc670fbaef01,    1710,     282,     534,      18,       0,     869,       7,474128a4452a9868e3e906fde219d665a795a530,     933,     250,     658,      18,       0,       0,       7
Kitware/CMake,14f0378e103fd24915712cb94c98265ad18c8736,   36560,    1214,    3338,      35,      10,     363,   31600,81cdab5beaffc7665550710b84006a0a7ce76cfa,   35409,    1050,    2396,      33,      17,     313,   31600
