Repo,date1,commit1,date2,commit2,arg,before
ALPSCore/ALPSCore,27-Jun-17,7969b6a9174f8ea6f07c4b35966d4769607112a8,19-Dec-13,d9b0adf670321d3a2dc232eb75ef766d5fcf030c,,
Andersbakken/rtags,28-Jun-17,005e5569366b519850f0ae5b78f618f4d67d8785,30-Jun-12,b5bb19291a8e3331d2f5ee0c1a77fc5922e21607,,
BenHanson/lexertl,2-Apr-17,3215fe45c1c49298abd59f9f215ddd05792f50b0,8-Dec-14,3e4d2381c3acf712a6130f96ae4fc29217548c97,,
Bertram25/ValyriaTear,27-Jun-17,97fceb85691e90dd8788221bdb8b9132c24c6148,30-Jun-12,99cc26a8c76d05d9bdc82fe9213e5fd39050d218,,
ChaiScript/ChaiScript,22-Feb-17,064a385a645c89c8b958b754f0d5e8399b9b6df9,30-Nov-12,e4f4b64cc8a8c0f8a78365b92bce2f3fea9a918a,,
DGtal-team/DGtal,3-Jul-17,06bf04a64ace2cf4fceb8aae2a66ca27897848a2,28-Jul-12,1f1b116dc03f2fd68a7cc665d7c0b6fdb1ad37ef,,
Deltafire/Milkytracker,7-May-17,56bf091a0e8c5242e160d37f2974f3e1e2525821,22-Aug-15,dda125b03eabc7371965030edd62c3201fe79f2b,,
Eyescale/Collage,24-May-17,f320324f091b81c3ec5a26ed16ffc5c0fb49da29,2-Dec-13,919ca72b1d74171c1759d3c46b427f0f7c6732d9,"""-DCLONE_SUBPROJECTS=ON""",
FreeCAD/FreeCAD_sf_master,18-Mar-17,e3d55841065cc22b32eda7ff53a648698c748562,30-Mar-12,0ec1c40d255bee91c0a745457a4528b612f1fe10,,
GarageGames/Torque3D,7-Feb-17,8684cd1a65084e52f76131d74520c2fa9e1904a1,28-Feb-15,cd686a23b3b39c18552c933f76bc6587fc5ce2f3,"""=-DTORQUE_APP_NAME=LinuxTest -DCMAKE_BUILD_TYPE=Release""",
GollyGang/ready,14-Jun-17,f8bb1b0bc6a0b892e6909412de126a2f1d8f5e3a,27-Jun-12,6800b29d331505a8c94897a1565760dcc50c62ca,"""=-DTORQUE_APP_NAME=LinuxTest -DCMAKE_BUILD_TYPE=Release""",
H-uru/Plasma,30-May-17,76f136261c9bc88b3cb6e9e70e63f54e64bcd416,21-May-12,d382da0fe7823fe8c61949365c757a5bddd8182b,,
InsightSoftwareConsortium/ITK,3-Jul-17,07cb23f9866768b5f4ee48ebec8766b6e19efc69,12-Jul-12,35e3315e0248df1fa93ba4b0c90f4a49162d8abe,,
Itseez/opencv,15-Mar-17,c1007c7276e889f5f284702515a60b6799df9cd7,31-Mar-12,fd31234122a73e5585bccd9ca83cb2401967113f,,
KDAB/GammaRay,15-Mar-17,3d5cdd5353645676a23aafd9b8b1917694da3d87,14-Mar-12,c9e4c20d9615e817eb1f3faaa6971a0fdc665c4e,,
Kazade/kazmath,23-Feb-17,3b2de632783d5f566217094034a2a3366bf6efe6,26-Feb-12,e25d39df2f289a3d06fc3e2318cf61bdedf23b71,,
KhronosGroup/OpenCOLLADA,8-Mar-17,5c548d2fc16ef35aa275eb207c111e27332f8b56,14-Mar-12,428019272e7af8608b9c3e05f9ae1c30187b5325,,
KiCAD/kicad-source-mirror,3-Jul-17,2300697f0297ac64dd2ec3b38882bc670fbaef01,31-Jul-12,474128a4452a9868e3e906fde219d665a795a530,,
Kitware/CMake,18-Mar-17,14f0378e103fd24915712cb94c98265ad18c8736,1-Mar-12,81cdab5beaffc7665550710b84006a0a7ce76cfa,,
Kitware/VTK,18-Mar-17,e1d409a6895180117cb9574c4d0ca3d53e27d7e7,17-Jun-16,b0ff5a4ce706dd2a39acdaa8132dab3f4ca99219,,
KitwareMedical/TubeTK,19-Jun-17,4950ed986022d5248561dacdee7c2b043c9e80ac,28-Jun-12,357f8c8a053dfc5c1b06607d53d6b43d5d8b35d6,,
LaurentGomila/SFML,20-Feb-17,756cb09bc3caf7b543c495f9c40d3a48bdf31428,26-Feb-12,2de690f02db4114ff41142c152ed94a944aee265,,
LiberatorUSA/GUCEF,11-Jun-17,408b884adfb4ff62a5b7ec30798d704b91836d25,30-Jun-12,6f8c0d256bb7bf729c9ab3c0806d3ffca1831287,,
ManaPlus/ManaPlus,28-Jun-17,4541175c81e5de39a3118729b7f5997d251b3d35,30-Jun-12,c01aec243610016c2cd5e4211fee484627bc69ea,,
Mudlet/Mudlet,2-Jul-17,7a2ba8e0e41e1eae27ebae9faaedcc2b5747bf93,15-Nov-14,9cfbadc3ead1b303dd140e5734a64033bef778cc,,
MyGUI/mygui,16-Mar-17,d079917c3b8f448c3c4d06eb593272799a93d124,16-Mar-12,027f13b57a03ec258b50ba066e4b73deebd25f0d,,
OPM/opm-simulators,24-Feb-17,930f0ea9a09f0b3ea54fbf0b605c7da3a471ecad,6-Dec-16,bf18ee7fb9a544c1134c931e1b77f08c79a24ce8,,
OPM/opm-material,30-Jun-17,ff4f092a7ff03f16e128df1c6f1c8f6d1b6dbe8c,18-Nov-15,eaf85622abbeb4934d222c021c5170ea4bd8a885,,
OpenImageIO/oiio,18-Mar-17,777dc35b8ac1f18941bbc440da0cbe5e7b56669d,27-Mar-14,cb5a00eb21c9dc7e7aa36111c74988c07e555480,,
