CVE-ID,Type,subtype,Type,subtype
 CVE-2002-0435, Time and State, File Access Race Condition: TOCTOU,,
 CVE-2004-0421, Input Validation and Representation, Buffer Overflow,,
 CVE-2004-0597, Input Validation and Representation, Buffer Overflow,,
 CVE-2004-0598, Code Quality, Null Dereference,,
 CVE-2004-0599, Input Validation and Representation, Buffer Overflow,,
 CVE-2005-2969, Input Validation and Representation, Setting Manipulation,,
 CVE-2005-3191, Input Validation and Representation, Buffer Overflow,,
 CVE-2005-3624, Input Validation and Representation, Integer Overflow,,
 CVE-2005-3625, Input Validation and Representation, Setting Manipulation,,
 CVE-2005-3627, Input Validation and Representation, Buffer Overflow,,
 CVE-2006-0301, Input Validation and Representation, Buffer Overflow,,
 CVE-2006-0903, Input Validation and Representation, SQL Injection,,
 CVE-2006-1061, Input Validation and Representation, Buffer Overflow,,
 CVE-2006-1516, Input Validation and Representation, String Termination Error,,
 CVE-2006-1517, Encapsulation, System Information Leak,,
 CVE-2006-1518, Input Validation and Representation, Buffer Overflow,,
 CVE-2006-2753, Input Validation and Representation, SQL Injection,,
 CVE-2006-2937, Input Validation and Representation, Setting Manipulation,,
 CVE-2006-2940, Input Validation and Representation, Setting Manipulation,,
 CVE-2006-3081, Input Validation and Representation, Setting Manipulation,,
 CVE-2006-3469, Input Validation and Representation, Format String,,
 CVE-2006-3486, Input Validation and Representation, Buffer Overflow,,
 CVE-2006-3737, Input Validation and Representation, Cross-Site Scripting,,
 CVE-2006-4031, Security Features, Missing Access Control,,
 CVE-2006-4226, Security Features, Missing Access Control,,
 CVE-2006-4227, Input Validation and Representation, Setting Manipulation,,
 CVE-2006-4339, Security Features, Password Management: Weak Cryptography,,
 CVE-2006-4343, Code Quality, Null Dereference,,
 CVE-2006-5680, Input Validation and Representation, Setting Manipulation,,
 CVE-2006-7244, Code Quality, Memory Leak,,
 CVE-2007-1351, Input Validation and Representation, Integer Overflow,,
 CVE-2007-1420, Code Quality, Null Dereference,,
 CVE-2007-2445, Input Validation and Representation, Setting Manipulation,,
 CVE-2007-2583, Code Quality, Null Dereference,,
 CVE-2007-2691, API Abuse, Often Misused: Privilege Management,,
 CVE-2007-2692, API Abuse, Often Misused: Privilege Management,,
 CVE-2007-2693, API Abuse, Often Misused: Privilege Management,,
 CVE-2007-3387, Input Validation and Representation, Integer Overflow,,
 CVE-2007-3780, Input Validation and Representation, Setting Manipulation,,
 CVE-2007-3781, API Abuse, Often Misused: Privilege Management,,
 CVE-2007-3782, API Abuse, Often Misused: Privilege Management,,
 CVE-2007-4352, Input Validation and Representation, Buffer Overflow,,
 CVE-2007-5392, Input Validation and Representation, Integer Overflow,,
 CVE-2007-5393, Input Validation and Representation, Buffer Overflow,,
 CVE-2007-5925, Input Validation and Representation, Setting Manipulation,,
 CVE-2007-5969, API Abuse, Often Misused: Privilege Management,,
 CVE-2007-5970, API Abuse, Often Misused: Privilege Management,,
 CVE-2007-6303, API Abuse, Often Misused: Privilege Management,,
 CVE-2007-6304, Input Validation and Representation, Setting Manipulation,,
 CVE-2007-6313, API Abuse, Often Misused: Privilege Management,,
 CVE-2008-0226, Input Validation and Representation, Buffer Overflow,,
 CVE-2008-0227, Input Validation and Representation, Buffer Overflow,,
 CVE-2008-0544, Input Validation and Representation, Buffer Overflow,,
 CVE-2008-2079, API Abuse, Often Misused: Privilege Management,,
 CVE-2008-2327, Input Validation and Representation, Buffer Overflow,,
 CVE-2008-2371, Input Validation and Representation, Buffer Overflow,,
 CVE-2008-3520, Input Validation and Representation, Integer Overflow,,
 CVE-2008-3521, Time and State, Insecure Temporary File,,
 CVE-2008-3522, Input Validation and Representation, Format String,,
 CVE-2008-3963, Input Validation and Representation, Format String,,
 CVE-2008-4098, API Abuse, Often Misused: Privilege Management,,
 CVE-2008-4456, Input Validation and Representation, Cross-Site Scripting,,
 CVE-2008-5077, API Abuse, Unchecked Return Value,,
 CVE-2008-5983, Input Validation and Representation, Setting Manipulation,,
 CVE-2008-7247, Security Features, Missing Access Control,,
 CVE-2009-0037, Encapsulation, Trust Boundary Violation,,
 CVE-2009-0590, Input Validation and Representation, Buffer Overflow,,
 CVE-2009-0591, API Abuse, Often Misused: Authentication,,
 CVE-2009-0789, Input Validation and Representation, Setting Manipulation,,
 CVE-2009-0799, Input Validation and Representation, Buffer Overflow,,
 CVE-2009-0800, Input Validation and Representation, Buffer Overflow,,
 CVE-2009-1179, Input Validation and Representation, Integer Overflow,,
 CVE-2009-1180, Input Validation and Representation, Setting Manipulation,,
 CVE-2009-1181, Input Validation and Representation, Setting Manipulation,,
 CVE-2009-1182, Input Validation and Representation, Buffer Overflow,,
 CVE-2009-1183, Input Validation and Representation, Setting Manipulation,,
 CVE-2009-1187, Input Validation and Representation, Integer Overflow,,
 CVE-2009-1188, Input Validation and Representation, Integer Overflow,,
 CVE-2009-2347, Input Validation and Representation, Integer Overflow,,
 CVE-2009-3555, Security Features, Password Management: Weak Cryptography,,
 CVE-2009-3607, Input Validation and Representation, Integer Overflow,,
 CVE-2009-4019, Input Validation and Representation, Setting Manipulation,,
 CVE-2009-4028, Input Validation and Representation, Setting Manipulation,,
 CVE-2009-4029, API Abuse, Often Misused: Privilege Management,,
 CVE-2009-4484, Input Validation and Representation, Buffer Overflow,,
 CVE-2009-5063, Code Quality, Memory Leak,,
 CVE-2010-0405, Input Validation and Representation, Integer Overflow,,
