project,from, to,age,number_of_commits,number_of_releases, new_version,new_number_of_source_files,new_number_of_header_files,new_loc,old_version,old_number_of_source_files,old_number_of_header_files,old_loc
 ALPSCore/ALPSCore, 6-May-2003, 27-Jun-2017,172,3961,16, 7969b6a9174f8ea6f07c4b35966d4769607112a8,219,150,123231, d9b0adf670321d3a2dc232eb75ef766d5fcf030c,119,480,136772
 Andersbakken/rtags, 18-Jul-2011, 28-Jun-2017,72,7023,15, 005e5569366b519850f0ae5b78f618f4d67d8785,110,154,52520, b5bb19291a8e3331d2f5ee0c1a77fc5922e21607,100,184,44622
 BenHanson/lexertl, 8-Aug-2012, 2-Apr-2017,56,120,1, 3215fe45c1c49298abd59f9f215ddd05792f50b0,16,51,41478, 3e4d2381c3acf712a6130f96ae4fc29217548c97,13,49,40363
 Bertram25/ValyriaTear, 16-Feb-2012, 27-Jun-2017,65,3483,9, 97fceb85691e90dd8788221bdb8b9132c24c6148,132,362,191391, 99cc26a8c76d05d9bdc82fe9213e5fd39050d218,162,174,105371
 ChaiScript/ChaiScript, 25-May-2009, 22-Feb-2017,94,1994,60, 064a385a645c89c8b958b754f0d5e8399b9b6df9,23,52,33207, e4f4b64cc8a8c0f8a78365b92bce2f3fea9a918a,42,35,16740
 DGtal-team/DGtal, 3-Mar-2010, 3-Jul-2017,89,9092,10, 06bf04a64ace2cf4fceb8aae2a66ca27897848a2,427,487,276919, 1f1b116dc03f2fd68a7cc665d7c0b6fdb1ad37ef,226,291,143099
 Deltafire/Milkytracker, 5-Jan-2008, 7-May-2017,113,537,4, 56bf091a0e8c5242e160d37f2974f3e1e2525821,303,341,264730, dda125b03eabc7371965030edd62c3201fe79f2b,303,342,264513
 Eyescale/Collage, 3-Jun-2005, 24-May-2017,145,9313,16, f320324f091b81c3ec5a26ed16ffc5c0fb49da29,93,93,43879, 919ca72b1d74171c1759d3c46b427f0f7c6732d9,90,97,46780
 FreeCAD/FreeCAD_sf_master, 10-Oct-2011, 18-Mar-2017,66,10574,5, e3d55841065cc22b32eda7ff53a648698c748562,1741,1505,940987, 0ec1c40d255bee91c0a745457a4528b612f1fe10,1399,1178,695939
 GarageGames/Torque3D, 18-Sep-2012, 7-Feb-2017,53,2849,21, 8684cd1a65084e52f76131d74520c2fa9e1904a1,1527,2242,1273127, cd686a23b3b39c18552c933f76bc6587fc5ce2f3,1493,2199,1241834
 GehnShard/Plasma, 12-Mar-2011, 30-May-2017,75,2084,26, 3fabf49045cd56e7b323a74b2e83d3c885d508ee,1059,1195,689861, d382da0fe7823fe8c61949365c757a5bddd8182b,1122,1287,688934
 GollyGang/ready, 3-Sep-2010, 27-Jun-2012,22,1440,11, f8bb1b0bc6a0b892e6909412de126a2f1d8f5e3a,35,37,24077, 6800b29d331505a8c94897a1565760dcc50c62ca,65,51,54891
 H-uru/Plasma, 12-Mar-2011, 30-May-2017,75,2011,2, 76f136261c9bc88b3cb6e9e70e63f54e64bcd416,1059,1195,689894, d382da0fe7823fe8c61949365c757a5bddd8182b,1122,1287,688934
