Project, commit1, commit2, RATS_Runtime_1, RATS_Runtime_2, Flawfinder_Runtime_1, Flawfinder_Runtime_2, Cppcheck_Runtime_1, Cppcheck_Runtime_2, Clang_Runtime_1, Clang_Runtime_2, PVS_studio_Runtime_1, PVS_studio_Runtime_2,  Parasoft_run_time1, Parasoft_run_time2
ALPSCore/ALPSCore, 7969b6a9174f8ea6f07c4b35966d4769607112a8 , d9b0adf670321d3a2dc232eb75ef766d5fcf030c ,720,665,2923,4088,39925,6244,48204,25660,1015277,20058,4368673,40933
Andersbakken/rtags, 005e5569366b519850f0ae5b78f618f4d67d8785 , b5bb19291a8e3331d2f5ee0c1a77fc5922e21607 ,816,1209,1933,2574,735089,635765,4918,807,6143,2748,33698,33009
BenHanson/lexertl, 3215fe45c1c49298abd59f9f215ddd05792f50b0 , 3e4d2381c3acf712a6130f96ae4fc29217548c97 ,98,96,676,598,31766,17632,24797,24933,22107,22016,2,2
Bertram25/ValyriaTear, 97fceb85691e90dd8788221bdb8b9132c24c6148 , 99cc26a8c76d05d9bdc82fe9213e5fd39050d218 ,2669,1410,6853,3377,11750,15289,34763,41636,14390,950540,3,8
ChaiScript/ChaiScript, 064a385a645c89c8b958b754f0d5e8399b9b6df9 , e4f4b64cc8a8c0f8a78365b92bce2f3fea9a918a ,505,423,1288,792,28063,323,26071,49079,41611,66149,339501,70402
DGtal-team/DGtal, 06bf04a64ace2cf4fceb8aae2a66ca27897848a2 , 1f1b116dc03f2fd68a7cc665d7c0b6fdb1ad37ef ,2341,1105,6232,3222,46248,6341,45372,42620,940754,935639,1615153,324970
Deltafire/Milkytracker, 56bf091a0e8c5242e160d37f2974f3e1e2525821 , dda125b03eabc7371965030edd62c3201fe79f2b ,2310,2478,9961,11161,212248,154648,25440,26244,100158,100514,286822,249402
Eyescale/Collage, f320324f091b81c3ec5a26ed16ffc5c0fb49da29 , 919ca72b1d74171c1759d3c46b427f0f7c6732d9 ,956,976,1661,1782,11143,11129,41816,56746,14194,182391,42004,65519
FreeCAD/FreeCAD_sf_master, e3d55841065cc22b32eda7ff53a648698c748562 , 0ec1c40d255bee91c0a745457a4528b612f1fe10 ,13664,14310,25462,23091,773610,609357,70228,52282,72293,49584,96949,70148
GarageGames/Torque3D, 8684cd1a65084e52f76131d74520c2fa9e1904a1 , cd686a23b3b39c18552c933f76bc6587fc5ce2f3 ,19048,21419,40218,42896,515738,536129,174,163,22622,19753,32697,33902
GollyGang/ready, f8bb1b0bc6a0b892e6909412de126a2f1d8f5e3a , 6800b29d331505a8c94897a1565760dcc50c62ca ,423,604,1000,1738,8968,14900,30428,26187,156812,37006,116580,71723
