project,v1,v2,tool,old_file,old_line,old_description,new_file,new_line,new_description,status,file_name_changed,still_bug,same_description,false_positive
Git,1.5.6,2.13.2,clang,builtin-ls-files.c,321,API Argument with 'nonnull' attribute passed null,builtin/ls-files.c,NA,NA,deleted,1,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,strbuf.c,97,API Argument with 'nonnull' attribute passed null,strbuf.c,179,NA,moved,0,0,NA,FFP2
Git,1.5.6,2.13.2,clang,pretty.c,224,API Argument with 'nonnull' attribute passed null,pretty.c,562,NA,changed,0,0,NA,FFP2
Git,1.5.6,2.13.2,clang,grep.c,484,API Argument with 'nonnull' attribute passed null,grep.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,builtin-apply.c,2883,API Argument with 'nonnull' attribute passed null,builtin/apply.c,NA,NA,deleted,1,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,builtin-clone.c,403,API Argument with 'nonnull' attribute passed null,builtin-clone.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,builtin-pack-objects.c,2019,API Argument with 'nonnull' attribute passed null,builtin-pack-objects.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,builtin-grep.c,773,API Argument with 'nonnull' attribute passed null,builtin-grep.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,builtin-pack-objects.c,953,API Argument with 'nonnull' attribute passed null,builtin/pack-objects.c,1295,API Argument with 'nonnull' attribute passed null,moved,1,1,1,TFP
Git,1.5.6,2.13.2,clang,builtin-fetch--tool.c,419,Logic error Assigned value is garbage or undefined,contrib/examples/builtin-fetch--tool.c,420,NA,moved,1,0,NA,FFP2
Git,1.5.6,2.13.2,clang,builtin-fetch-pack.c,800,Logic error Assigned value is garbage or undefined,builtin/fetch-pack.c,NA,NA,deleted,1,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,fast-import.c,1860,Logic error Assigned value is garbage or undefined,fast-import.c,2199,NA,changed,0,0,NA,FFP2
