project,v1,v2,tool,old_file,old_line,old_description,new_file,new_line,new_description,status,file_name_changed,still_bug,same_description,false_positive
Git,1.5.6,2.13.2,polyspace,builtin-describe.c,75,Programming Invalid use of == operator,builtin/describe.c,174,NA,changed,1,0,NA,FFP2
Git,1.5.6,2.13.2,polyspace,git.c,400,Programming Writing to const qualified object,git.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,polyspace,sha1_name.c,648,Dynamic memory Deallocation of previously deallocated pointer,sha1_name.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,polyspace,sha1_name.c,665,Dynamic memory Deallocation of previously deallocated pointer,sha1_name.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,polyspace,daemon.c,933,Programming Misuse of errno,daemon.c,1101,Programming Misuse of errno,moved,0,1,1,TFP
Git,1.5.6,2.13.2,polyspace,write_or_die.c,37,Programming Misuse of errno,write_or_die.c,38,NA,changed,0,0,NA,FFP2
Git,1.5.6,2.13.2,polyspace,http-push.c,1360,Dynamic memory Use of previously freed pointer,http-push.c,1000,NA,changed,0,0,NA,FFP2
Git,1.5.6,2.13.2,polyspace,connect.c,613,Static memory Pointer or reference to stack variable leaving scope,connect.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,polyspace,http.c,474,Static memory Pointer or reference to stack variable leaving scope,http.c,1230,Static memory Pointer or reference to stack variable leaving scope ,moved,0,1,1,TFP
Git,1.5.6,2.13.2,polyspace,builtin-ls-files.c,321,Static memory Invalid use of standard library memory routine,builtin/ls-files.c,NA,NA,deleted,1,NA,NA,FFP2
Git,1.5.6,2.13.2,polyspace,builtin-mailinfo.c,697,Static memory Invalid use of standard library memory routine,builtin-mailinfo.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,polyspace,builtin-mailinfo.c,701,Static memory Invalid use of standard library memory routine,builtin-mailinfo.c,NA,NA,deleted,0,NA,NA,FFP2
